0.202881731841*肌萎缩 0.202008171062*罕见 0.199679949064*硬化症 0.198006260943*关爱 0.197423887091*侧索
0.275501888179*冰桶 0.212005524883*挑战 0.192921721896*地震 0.189451835187*朋友 0.130119029855*转发
0.218721259634*古剑 0.218279858497*奇谭 0.217398328273*古剑 0.174646020457*视网 0.170954533139*追剧
0.263794123766*古剑 0.245494996678*奇谭 0.244087189308*古剑 0.137669822192*电视剧 0.108953868055*喜欢
0.360056142542*冰桶 0.319234943069*挑战 0.111438966414*公益 0.108864491067*接受 0.100405456908*点名
0.336441360434*冰桶 0.29843729929*挑战 0.141991426473*活动 0.114013006861*捐款 0.109116906943*关注
0.328173139097*冰桶 0.301323012945*挑战 0.141339241566*点名 0.119523474446*罕见 0.109641131946*公益
0.263263841298*微信 0.250126302354*关注 0.168456451734*冰桶 0.159297764147*连衣裙 0.158855640467*夏装
0.283966797728*古剑 0.280879902762*奇谭 0.268279462885*古剑 0.092391792815*苏苏 0.0744820438099*电视剧
0.209324583087*病 0.20533300839*挑战 0.199265397069*罕见 0.199105942973*冰桶 0.186971068482*风靡
0.347377518285*地震 0.18503535606*海啸 0.181523894961*汶川 0.143166652395*小学 0.142896578298*社会
0.24347076529*百度 0.226061503334*百科 0.212872726207*送花 0.161962866206*乔振宇 0.155632138963*欧阳
0.308390644878*古剑 0.298819328555*奇谭 0.293159503659*古剑 0.0627404843815*电视剧 0.0368900385261*乔振宇
0.390827569684*地震 0.167459287885*海水 0.148169503421*令人 0.147890075789*希腊 0.145653563221*女神
0.338548544777*冰桶 0.304475885645*挑战 0.161252218207*关注 0.102417840287*明星 0.0933055110836*娱乐
0.315426011109*地震 0.196376101496*灾区 0.183871477749*鲁甸 0.172642858847*云南 0.131683550799*发生
0.360244174579*冰桶 0.345105613134*挑战 0.111621258729*投资 0.0969425683388*专业 0.0860863852194*现货
0.296729025403*地震 0.256674869575*发生 0.176294687135*中国 0.136240531307*震源 0.134060886579*深度
0.357177885321*冰桶 0.328283668475*挑战 0.116472018148*点名 0.11201680592*冰水 0.0860496221359*接受
0.350723469061*冰桶 0.325345025253*挑战 0.122754030163*活动 0.10739633108*浪费 0.0937811444427*关注
