0.361997380183*冰桶 0.341304149002*挑战 0.106424221443*娱乐 0.100780578582*明星 0.0894936707904*公益
0.37412160322*冰桶 0.3210712486*挑战 0.107804256749*冰水 0.10578400531*活动 0.0912188861219*接受
0.240415627309*微信 0.216279765178*关注 0.19640319553*精彩 0.184098744282*冰桶 0.162802667701*古剑
0.224668545244*奇谭 0.223889170919*古剑 0.222525086931*古剑 0.174591061075*游戏 0.15432613583*战斗
0.240433336889*精彩 0.229877333398*微信 0.22045228094*关注 0.173986855216*新款 0.135250193558*奇谭
0.378700658896*冰桶 0.299141817111*挑战 0.129988572166*水 0.116280039139*浪费 0.0758889126884*水资源
0.332018267338*冰桶 0.308557704508*挑战 0.143769172459*关注 0.129317585695*接受 0.0863372699991*捐款
0.232122831273*关注 0.197893552572*精彩 0.197339224301*连衣裙 0.18653015103*新款 0.186114240824*长裙
0.218143438228*奇谭 0.20351607359*古剑 0.19957803174*古剑 0.190576793224*连衣裙 0.188185663218*微信
0.267366693456*冰桶 0.251260437376*挑战 0.169538006007*罕见 0.160434160991*病 0.15140070217*公益
0.309753221788*冰桶 0.18954751153*挑战 0.179443001917*微信 0.169687206488*关注 0.151569058277*精彩
0.20401984417*夏装 0.203094713776*微信 0.200151276536*新款 0.197712679128*精彩 0.19502148639*关注
0.207645957329*精彩 0.199555841005*微信 0.199317885771*关注 0.196779937698*凉鞋 0.196700378197*男士
0.283626706183*冰桶 0.248695377155*挑战 0.166319768934*奇谭 0.151721983923*古剑 0.149636163805*古剑
0.275745212896*古剑 0.26310757834*古剑 0.260654704123*奇谭 0.116372122856*李易峰 0.084120381785*大本营
0.271805414212*奇谭 0.271659815987*古剑 0.270065799053*古剑 0.128079166104*电视剧 0.058389804645*苏苏
0.204556692945*古剑 0.204382379525*奇谭 0.203306986741*古剑 0.194124002873*视网 0.193629937916*乐
0.257716885715*微信 0.240411058084*关注 0.201824032827*精彩 0.187792470595*冰桶 0.112255552779*挑战
0.347975804682*冰桶 0.328835060022*挑战 0.127233790208*水 0.105542237621*浪费 0.0904131074668*作秀
0.249696322981*冰桶 0.249129677916*挑战 0.200000059647*河南 0.161473265239*抗议 0.139700674218*民众
