0.256019988972*冰桶 0.251719801258*挑战 0.172305213874*加入 0.164277904724*投资 0.155677091172*验证
0.359581852277*冰桶 0.31498540783*挑战 0.137931308664*冻 0.115716733797*关注 0.0717846974319*水
0.250586860656*古剑 0.24040671505*古剑 0.221808646475*奇谭 0.151527464109*微信 0.13567031371*精彩
0.254330209806*古剑 0.252846409709*古剑 0.252185370701*奇谭 0.138014028582*视网 0.102623981201*剧
0.352581242287*冰桶 0.306327200169*挑战 0.124007324375*公益 0.108684054916*活动 0.108400178253*关注
0.337911047093*冰桶 0.309549075718*挑战 0.130069397035*中国 0.128075207703*关注 0.0943952724519*活动
0.22678426183*挑战 0.21128486233*冰桶 0.191978328006*侧索 0.185723919578*肌萎缩 0.184228628256*患者
0.275367102619*奇谭 0.269555759444*古剑 0.254804356681*古剑 0.101924434593*声音 0.0983483466642*李易峰
0.205437206222*瓷娃娃 0.204018929509*点名 0.2*冰桶 0.195508311587*病 0.195035552683*罕见
0.209693935162*中心 0.20436451628*益 0.202165427944*好友 0.193199055276*项目 0.190577065338*助力
0.35303588622*冰桶 0.289756768296*挑战 0.132391128447*陈光标 0.127395322097*巡视 0.0974208949385*巡视组
0.221059224253*微信 0.213104417556*精彩 0.211743697505*关注 0.178668631737*冰桶 0.175424028949*新款
0.316613704503*挑战 0.30764774517*冰桶 0.13589326015*关注 0.122164134922*冰水 0.117681155256*接受
0.419023549595*冰桶 0.290638639513*挑战 0.115149281014*接受 0.0929820584925*捐款 0.0822064713854*关注
0.249808895108*挑战 0.22699567236*冰桶 0.200000122112*河南 0.16425923348*民众 0.15893607694*中国
0.332190889846*冰桶 0.283231275657*挑战 0.170571650787*冻 0.137668662177*关注 0.0763375215321*帮助
0.212840465215*罕见 0.20580474723*公益 0.199355205796*冻 0.194371105734*冰桶 0.187628476025*患者
0.21854596009*古剑 0.210024789179*奇谭 0.198997420974*古剑 0.192982697628*上海 0.179449132128*游戏
0.333582260054*挑战 0.320824245601*冰桶 0.135272604228*冻 0.109569360241*病 0.100751529877*罕见
0.2947612778*奇谭 0.274591892093*古剑 0.271407020375*古剑 0.0831584763971*电视剧 0.076081333335*快乐
