0.279232952731*古剑 0.25737535755*奇谭 0.234971564077*古剑 0.127870902252*李易峰 0.10054922339*翻牌
0.289501858312*巡视 0.27964974985*巡视组 0.163320211844*昆山 0.14361599492*发现 0.123912185074*中央
0.382416062258*冰桶 0.3443660209*挑战 0.144978384561*关注 0.0753448234692*明星 0.052894708812*公众
0.31554167438*冰桶 0.245701352265*挑战 0.218123101269*关注 0.113182197089*微信 0.107451674997*昆山
0.268069077267*奇谭 0.267909104937*古剑 0.259797090286*古剑 0.103196530666*视网 0.101028196845*晴雪
0.217321877298*微信 0.213660152381*冰桶 0.206018025029*精彩 0.202993164502*关注 0.16000678079*挑战
0.216255026911*精彩 0.207984160832*新款 0.20627467153*微信 0.205723362774*关注 0.163762777954*连衣裙
0.307802824074*冰桶 0.277675133118*挑战 0.207622166975*关注 0.112887079195*冻 0.0940127966382*活动
0.269624469528*冰桶 0.241733416897*挑战 0.176653966905*关注 0.160125953893*古剑 0.151862192778*古剑
0.306001536397*挑战 0.290342823948*冰桶 0.187907907221*冻 0.124402631499*活动 0.0913451009347*关注
0.269052147053*冰桶 0.21812670341*挑战 0.20210102356*冻 0.170584156017*患者 0.140135969959*侧索
0.223000230787*奇谭 0.220514832502*古剑 0.218481421648*古剑 0.206055140336*微信 0.131948374727*精彩
0.340724031963*冰桶 0.29996812978*挑战 0.146839151162*美国 0.122266385504*中国 0.0902023015914*社交
0.322600468183*挑战 0.320820939041*冰桶 0.126679110568*接受 0.117942774696*点名 0.111956707513*关注
0.204073073537*男士 0.20241057711*凉鞋 0.201163775971*鞋子 0.196799829622*休闲鞋 0.19555274376*男鞋
0.220503400918*挑战 0.218364194949*冰桶 0.193352034147*罕见 0.185124365684*病 0.182656004303*点名
0.387145243956*冰桶 0.31648588633*挑战 0.105600843042*冻 0.0985816662252*公益 0.0921863604468*慈善
0.261631767324*冰桶 0.254109302346*挑战 0.188631993928*投资 0.151296343757*现货 0.144330592644*黄金
0.20738709387*中心 0.202676009808*瓷娃娃 0.200320264098*益 0.194855569528*关爱 0.194761062697*罕见
0.218999568979*冰桶 0.197500076968*肌萎缩 0.195999969213*硬化症 0.195500061574*侧索 0.192000323266*挑战
