0.200441225198*瓷娃娃 0.200441225198*中心 0.200110353499*硬化症 0.199779481801*关爱 0.199227714304*肌萎缩
0.281365273153*冰桶 0.275910470114*挑战 0.175998119356*冻 0.134655077662*病 0.132071059715*罕见
0.373202208586*冰桶 0.347285681563*挑战 0.102872849582*接受 0.096094588241*关注 0.0805446720274*冻
0.291734239366*冰桶 0.262843761687*挑战 0.153686091462*关注 0.15234592507*接受 0.139389982415*活动
0.366624545673*挑战 0.330353400658*冰桶 0.112167695521*咨询 0.107145681233*投资 0.0837086769143*现货
0.242240029506*挑战 0.227100049409*冰桶 0.183573302528*古剑 0.179410086361*奇谭 0.167676532196*古剑
0.247904703961*巡视组 0.201005064831*昆山 0.194305008882*巡视 0.193746639531*中央 0.163038582795*公司
0.223135286431*挑战 0.215327520849*冰桶 0.19539754347*发起 0.183275331673*脱衣 0.182864317577*深圳
0.395642893014*冰桶 0.340587842891*挑战 0.0921910970578*慈善 0.0861091595614*捐款 0.0854690074752*活动
0.357385932387*冰桶 0.310427528027*挑战 0.133961166619*美国 0.107268660802*活动 0.0909567121651*慈善
0.33044026718*冰桶 0.30524311851*挑战 0.138373659044*蓝翔 0.113178073124*冰水 0.112764882142*挖掘机
0.273848504485*奇谭 0.272703283825*古剑 0.271116676035*古剑 0.0995335134511*电视剧 0.0827980222039*李易峰
0.220569992948*冰桶 0.209200469118*挑战 0.192583520082*浇头 0.192408769993*冰水 0.185237247858*中国
0.258053936037*冰桶 0.2336641596*挑战 0.196025225795*参加 0.161397795415*美国 0.150858883152*警方
0.344142063551*冰桶 0.319168721465*挑战 0.115473209941*冻 0.113527190125*中国 0.107688814917*关注
0.29974529531*古剑 0.282014027361*奇谭 0.279199600443*古剑 0.0858444352795*电视剧 0.0531966416061*轩辕剑
0.260519407749*挑战 0.253773666327*冰桶 0.170254153682*罕见 0.165435842826*病 0.150016929416*公益
0.204761864401*冰桶 0.200396791762*挑战 0.199338518951*黄金 0.197751412443*现货 0.197751412443*投资
0.204921361924*专业 0.203180575137*现货 0.201202552462*黄金 0.195901497815*白银 0.194794012662*冰桶
0.222221041209*奇谭 0.222221041209*古剑 0.214529424781*古剑 0.187180220564*冰桶 0.153848272237*湖南卫视
