0.415830192218*春晚 0.19435241641*红包 0.141751264797*节目 0.13455329361*春节 0.113512832965*活动
0.463323444129*红包 0.343917106259*飞 0.0699925895515*转发 0.0670854731972*机会 0.0556813868641*优酷
0.353065034681*邓紫棋 0.27527912518*我是歌手 0.157736455058*歌手 0.110633026506*张杰 0.103286358575*喜欢
0.537422895827*春晚 0.168958311999*节目 0.120379904871*卫视 0.0882997753602*电视 0.0849391119429*湖南卫视
0.327941586949*邓紫棋 0.26973802077*我是歌手 0.140124938152*喜欢 0.139855360193*张杰 0.122340093937*韩磊
0.286843359636*红包 0.25090569253*过年 0.218265348257*春晚 0.153973750321*回家 0.0900118492559*春节
0.392516600793*红包 0.368893694615*飞 0.080317221883*春晚 0.0795299015306*感觉 0.0787425811782*中国
0.408975017221*春晚 0.194161509289*春节 0.146792463269*联欢晚会 0.138805584473*央视 0.111265425748*节目
0.26980751153*春晚 0.206213494388*语言 0.203502894136*剧组 0.164095417339*央视春晚 0.156380682607*谴责
0.530248326572*春晚 0.167475595915*冯小刚 0.115906068542*央视 0.10237552785*直通 0.0839944811202*华晨
0.246100169031*红包 0.216270376597*孩子 0.181695711028*飞 0.179661798652*春晚 0.176271944692*湖南卫视
0.468684179587*春晚 0.168964548391*娱乐 0.146908869179*央视春晚 0.116976560212*凤凰 0.0984658426308*节目
0.431114380287*春晚 0.184607344031*红包 0.137202144751*时间 0.127163140473*飞 0.119912990457*朋友
0.410146995465*春晚 0.186294874103*节目 0.139595531825*综艺 0.139087662538*舞台 0.124874936068*播出
0.438505899458*春晚 0.164734492209*春节 0.143080585185*播出 0.129159664947*中国 0.124519358201*频道
0.282575177121*飞 0.274597043984*红包 0.201819392404*博客 0.197760256447*头条 0.0432481300436*敦煌
0.300810943432*红包 0.258225921351*过年 0.158343807302*拜年 0.158343807302*年夜饭 0.124275520614*喝酒
0.37002345567*飞 0.352038678948*红包 0.0980954882046*音乐 0.0964605085026*地址 0.083381868674*好听
0.276961503914*春晚 0.203728118157*我是歌手 0.195739293535*邓紫棋 0.18308969787*喜欢 0.140481386525*鄧紫棋
0.459530838327*红包 0.363911618587*飞 0.0759438291074*土豆 0.0507226402028*时间 0.0498910737762*中国
