0.207518030206*捐出 0.205151509989*硬化症 0.197961218863*益 0.195048730982*项目 0.194320509961*病患者
0.212234313745*计划 0.201935070734*冰桶 0.199750402022*投资 0.19662926569*校车 0.189450947809*公厕
0.235964897562*瓷娃娃 0.198438847593*罕见 0.191834488313*公益 0.187331241505*冰桶 0.186430525026*挑战
0.239238902958*昆山 0.238679797295*巡视组 0.233090186635*巡视 0.164338505703*中央 0.124652607409*发现
0.238275677614*奇谭 0.237582414792*古剑 0.234972737811*古剑 0.153209406815*苏苏 0.135959762968*李易峰
0.322966184748*冰桶 0.27863181592*挑战 0.153633687798*接受 0.133006018293*活动 0.111762293241*关注
0.268947648837*古剑 0.264415546694*古剑 0.255465331002*奇谭 0.139798780575*电视剧 0.0713726928919*信
0.251728960335*冰桶 0.241928864374*挑战 0.171983294679*黄金价格 0.168332339462*纸黄金 0.16602654115*纸
0.211271161699*白银 0.209502152664*黄金 0.199309173599*专业 0.190464128428*贵金属 0.18945338361*咨询
0.231103776124*冰桶 0.221772696979*挑战 0.183825883392*侧索 0.182270815394*接受 0.181026828111*硬化症
0.235003190566*微信 0.225695029012*关注 0.220294094921*精彩 0.191910086946*新款 0.127097598556*冰桶
0.200543665376*浇头 0.200118903836*风靡 0.200034025016*全美 0.199694142296*伯格 0.199609263476*扎克
0.321209793929*冰桶 0.316327317895*挑战 0.141079410027*冰水 0.130340024112*活动 0.0910434540367*慈善
0.326639176625*挑战 0.293422289043*冰桶 0.139794598539*古剑 0.137026432449*奇谭 0.103117503344*古剑
0.362018207213*挑战 0.340855201576*冰桶 0.121615380754*中国 0.0888843283913*美国 0.0866268820665*冻
0.262378298107*冰桶 0.192947360037*挑战 0.182715344426*参加 0.18198439441*冻 0.17997460302*患者
0.375538455485*冰桶 0.354748851924*挑战 0.0928740484855*冻 0.0923340416357*关注 0.0845046024691*苹果
0.211891980652*挑战 0.205189931925*点名 0.203815126709*冰桶 0.192301090789*病 0.186801869924*助力
0.316024387599*冰桶 0.28357373153*挑战 0.164753349511*明星 0.122067737183*关注 0.113580794177*发起
0.314040568748*冰桶 0.282058086902*挑战 0.211696133095*现货 0.0971687295018*专业 0.0950364817542*白银
