0.235943685026*冰桶 0.218556948478*挑战 0.196457492268*患者 0.175333474986*微 0.173708399241*好友
0.204018882781*火车站 0.202042368995*石家庄 0.200505104315*水帘洞 0.199077598317*冰桶 0.194356045592*挑战
0.311534989689*冰桶 0.293872778259*挑战 0.148441400898*石家庄 0.137167539041*火车站 0.108983292113*完成
0.312413592552*冰桶 0.215323164534*挑战 0.169749852298*巡视组 0.151256695308*中央 0.151256695308*呼吁
0.225587713579*冰桶 0.215074798432*挑战 0.203848774008*冰水 0.179437219232*全球 0.176051494749*陈光标
0.204984620098*病 0.201182836492*罕见 0.199228956607*公益 0.198648314088*点名 0.195955272715*项目
0.319064195161*冰桶 0.276616798828*挑战 0.17934239103*关注 0.125222485984*冻 0.0997541289964*昆山
0.219479669833*代理 0.210266417659*信 0.198749744341*挑战 0.195459142705*冰桶 0.176045025462*货源
0.205949459069*美金 0.202653760105*扎克 0.199104251803*助力 0.197498449049*伯格 0.194794079974*瓷娃娃
0.33689784879*挑战 0.336709530682*冰桶 0.132811670528*冻 0.113702252837*活动 0.0798786971634*捐款
0.251109537853*挑战 0.208703287935*冰桶 0.194493771725*比尔盖茨 0.178730446188*点名 0.166962956299*浇头
0.202604585578*白银 0.202132556062*现货 0.200717287958*挑战 0.19779185358*请加 0.196753716822*冰桶
0.250565514414*古剑 0.250062129491*古剑 0.249007742151*奇谭 0.125886138865*电视剧 0.124478475079*苏苏
0.202541028637*冰桶 0.202114028813*黄金 0.201900528901*专业 0.199231341904*咨询 0.194213071744*贵金属
0.270552344629*奇谭 0.269569663503*古剑 0.261708885497*古剑 0.109402034006*发现 0.0887670723651*卫子夫
0.208176762904*冰桶 0.208026383339*挑战 0.196152153899*关注 0.19585139477*善款 0.191793305087*侧索
0.203747027611*奇谭 0.202136963821*古剑 0.200965983389*古剑 0.198770566596*晴雪 0.194379458583*苏苏
0.280328895772*冰桶 0.260070007908*挑战 0.167491536738*冻 0.149352615925*关注 0.142756943657*活动
0.343544506686*冰桶 0.327141506216*挑战 0.119469026549*声音 0.108327060069*明星 0.101517900481*柯震东
0.238383517612*冰桶 0.225925629329*冰水 0.221380325406*挑战 0.171212430826*风靡 0.143098096827*捐
