0.272930868573*挑战 0.270671663832*冰桶 0.168550131241*冻 0.158157432152*病 0.129689904201*支持
0.304413664098*冰桶 0.282139786015*挑战 0.162173377551*活动 0.126222639428*冰水 0.125050532908*冻
0.335772165178*冰桶 0.318677231518*挑战 0.168499057373*微信 0.0915781735619*火车站 0.0854733723689*石家庄
0.249276923316*挑战 0.204840728885*冰桶 0.189667773215*瓷娃娃 0.189667773215*病 0.166546801369*罕见
0.396102406704*冰桶 0.316358754511*挑战 0.112693661889*代理 0.0958463781207*爸爸去哪儿 0.0789987987761*代发
0.261040118627*挑战 0.254468301596*冰桶 0.181125309608*关注 0.164038409291*接受 0.139327860878*善款
0.317826036309*冰桶 0.28204870543*挑战 0.168754624379*活动 0.119859418884*募捐 0.111511214999*日本
0.219931730479*霍金 0.214197063577*接受 0.195288189386*冰桶 0.194978335665*挑战 0.175604680893*英国
0.221068260301*精彩 0.217216361608*微信 0.205325730761*关注 0.192932548901*新款 0.163457098429*连衣裙
0.270642800433*挑战 0.2658480485*冰桶 0.191795565388*冻 0.1369223949*关爱 0.134791190779*参加
0.203832151201*朋友 0.201521265139*拍 0.199691959784*伯格 0.199210379077*比尔盖茨 0.195744244799*美金
0.24620345789*冰桶 0.23029604745*挑战 0.176066666186*冰水 0.174620737258*浇 0.172813091216*浇头
0.209595027786*古剑 0.207588485469*古剑 0.205946679653*奇谭 0.191353614824*晴雪 0.185516192269*苏苏
0.201268734991*黄金 0.201268734991*现货 0.199207050878*奇谭 0.199207050878*古剑 0.199048428263*白银
0.223808450598*古剑 0.219261502872*奇谭 0.217624572642*古剑 0.169880048019*李易峰 0.169425425869*电视剧
0.301962832478*奇谭 0.287499643695*古剑 0.284999334523*古剑 0.0694655016812*电视剧 0.0560726876236*李易峰
0.337002611517*冰桶 0.298421395301*挑战 0.125199712355*接受 0.120475507834*希望 0.118900772994*昆山
0.203056678801*俗称 0.20095866408*微 0.199280929394*硬化症 0.19922095848*项目 0.197482769244*中心
0.210211066526*冰桶 0.200474366686*冻 0.198851393024*挑战 0.195356460296*冰水 0.195106713469*世界
0.282278997871*巡视组 0.232731550345*中央 0.189940307794*古剑 0.158409892962*古剑 0.136639251028*奇谭
