0.273904682844*冰桶 0.238788457992*挑战 0.185845779797*罕见 0.159914446022*病 0.141546633343*瓷娃娃
0.20397581745*韩版 0.20167093548*长裙 0.199078116511*女装 0.197925675526*微信 0.197349455033*气质
0.380409866897*冰桶 0.338678129404*挑战 0.102732748111*爱 0.0906946074677*关注 0.087484648119*奇谭
0.254495625799*古剑 0.247607222562*古剑 0.231916550287*奇谭 0.144279838432*巡视 0.12170076292*发现
0.23076874272*精彩 0.200397428642*关注 0.198126552852*微信 0.18989526258*微信 0.180812013207*新款
0.279187244572*冰桶 0.267221161659*挑战 0.209934333627*中国 0.125454445677*浇 0.118202814464*公益
0.262407609955*昆山 0.228130908998*古剑 0.203309518706*古剑 0.202127547739*奇谭 0.104024414602*晚安
0.22382947189*患者 0.221276329848*冻 0.193758888676*冰桶 0.183829881153*关爱 0.177305428432*病
0.249640169308*古剑 0.24303292644*古剑 0.235851233389*奇谭 0.137317839875*爱 0.134157830987*晴雪
0.222733833724*挑战 0.197132856954*参加 0.195084449247*冰桶 0.194060441563*捐出 0.190988418512*肌萎缩
0.220414850509*瓷娃娃 0.201797653263*公益 0.197945596762*助力 0.195163869743*微 0.184678029722*项目
0.236226019305*微 0.198573013028*好友 0.196591466208*肌萎缩 0.186286297549*冰桶 0.182323203909*中心
0.2194798639*挑战 0.209937431056*冰桶 0.201710957397*代理 0.195129958862*声音 0.173741788784*中国
0.231714149459*冰桶 0.217963478241*挑战 0.194850679854*接受 0.184610994078*霍金 0.170860698367*世界
0.208019702882*现到 0.200781817568*伯格 0.199623486016*扎克 0.196873179564*比尔盖茨 0.19470181397*冰水
0.332733233214*挑战 0.309479221282*冰桶 0.138641864081*冻 0.118964317596*关注 0.100181363827*活动
0.287976792586*微信 0.265943613368*微信 0.159258662275*冰桶 0.153460567107*挑战 0.133360364664*明星
0.265541316848*奇谭 0.257691093158*古剑 0.254472868379*古剑 0.117132589782*李易峰 0.105162131833*电视剧
0.332559757548*冰桶 0.287807439392*挑战 0.157793616207*活动 0.121914765458*冻 0.0999244213956*接受
0.215355207654*中心 0.204928748145*捐款 0.196018979946*俗称 0.193933869358*罕见 0.189763194897*硬化症
