0.293203400619*冰桶 0.25446786972*挑战 0.183552482176*活动 0.143029003771*公益活动 0.125747243714*昆山
0.286044752774*奇谭 0.281408625259*古剑 0.270249797139*古剑 0.0947694940892*电视剧 0.0675273307388*关注
0.284575415165*古剑 0.276005510011*古剑 0.273215085713*奇谭 0.085294128909*剧 0.0809098602012*电视剧
0.207615468048*贵金属 0.207227051304*请加 0.202823536617*纸黄金 0.192721263957*黄金 0.189612680072*黄金价格
0.218044831466*精彩 0.211119941355*关注 0.207953871481*微信 0.184012784839*新款 0.178868570858*男士
0.343677678383*巡视 0.234987844109*巡视组 0.214285073643*中央 0.109735446276*专项 0.0973139575894*高管
0.277376516146*挑战 0.263787762599*冰桶 0.16826594346*白银 0.149881043672*咨询 0.140688734123*黄金
0.268839909657*巡视 0.217335540738*巡视组 0.194724075289*昆山 0.179649429415*中央 0.139451044901*工作
0.202183379518*瓷娃娃 0.202183379518*罕见 0.199398442539*助力 0.198618697096*公益 0.197616101328*病
0.355615562579*昆山 0.184340557284*企业 0.172922064231*上海 0.148454274632*挑战 0.138667541273*问题
0.211457054073*微信 0.210234612992*关注 0.20770865564*精彩 0.195404166467*新款 0.175195510827*夏装
0.222584543461*冰桶 0.198320050331*挑战 0.194587226641*善款 0.194587226641*关注 0.189920952926*硬化症
0.214542218585*现货 0.199217881554*冰桶 0.198161175566*黄金 0.198161175566*验证 0.18991754873*黄金价格
0.389098740481*冰桶 0.317028963244*挑战 0.120550894876*活动 0.0870897140693*冻 0.0862316873297*关注
0.288880990673*冰桶 0.28438594055*挑战 0.160923467306*英国 0.148337571657*冰水 0.117472029814*冻
0.213944546299*挑战 0.207096739377*专业 0.202116647336*纸 0.191326207428*冰桶 0.18551585956*现货
0.360688361738*挑战 0.349638935139*冰桶 0.121550006548*中国 0.08603446018*点名 0.0820882363946*公益
0.238606181949*挑战 0.227214481235*冰桶 0.181645984511*古剑 0.179747579459*奇谭 0.172785772845*古剑
0.22456838527*病 0.216120762512*罕见 0.190778141785*关注 0.189370080884*冰桶 0.179162629549*挑战
0.310544691368*冰桶 0.301560355666*挑战 0.147657378519*接受 0.123829701615*冰水 0.116407872833*名人
