0.206325650865*准备 0.201946536619*库克 0.199513507071*奥巴马 0.198053802322*斯汀 0.194160503124*侠
0.313708088142*巡视组 0.214174926347*一汽 0.168087362269*一汽集团 0.161503315339*老虎 0.142526307904*电话
0.30520298187*冰桶 0.289578700044*挑战 0.162501996666*活动 0.123962131834*冻 0.118754189586*慈善
0.254384769736*冰桶 0.20258968177*专业 0.190476494822*黄金 0.177945261154*白银 0.174603792518*请加
0.214336996989*冰桶 0.211440658367*全球 0.207095977848*冻 0.19551062336*罕见 0.171615743435*病
0.340871505432*巡视 0.217609024975*工作 0.174844239013*进行 0.147173156531*名 0.119502074049*巡视组
0.242316921486*冰桶 0.23812718123*挑战 0.184358035373*冻 0.171090476765*活动 0.164107385145*英国
0.320772895974*冰桶 0.278536450362*挑战 0.174658201478*活动 0.120436174776*冰水 0.10559627741*发起
0.202469803984*冰桶 0.201770639322*挑战 0.200139736629*病 0.198508833936*罕见 0.19711098613*冻
0.257025271571*手机 0.207831000561*冰桶 0.203814933898*挑战 0.166668263909*安卓 0.164660530061*携众
0.20575511467*罕见 0.2*捐 0.198561331054*瓷娃娃 0.198081628443*挑战 0.197601925833*冰水
0.404511357526*冰桶 0.362081918595*挑战 0.0792166618573*咨询 0.0778021353598*进行 0.076387926662*帮助
0.325292106661*冰桶 0.274112129186*挑战 0.161910496397*冻 0.145178609117*关注 0.0935066586384*捐款
0.234110769832*挑战 0.234110769832*冰桶 0.183947764255*侧索 0.175587468771*硬化症 0.17224322731*善款
0.406115996614*冰桶 0.270747568287*挑战 0.133402670997*中国 0.102771548522*接受 0.0869622155802*冰水
0.210272722926*纸黄金 0.200963134387*贵金属 0.196789820894*挑战 0.196468641674*咨询 0.195505680119*创
0.227613398552*冰桶 0.211438298686*挑战 0.194685228154*质疑 0.191219087237*冰水 0.175043987371*陈光标
0.282885707571*情况 0.192983184835*中央 0.190790674162*巡视员 0.166670216716*巡视组 0.166670216716*干部
0.279757603162*挑战 0.245235297997*冰桶 0.194047739204*关注 0.170239772622*呼吁 0.110719587016*接受
0.222639346602*巡视组 0.20565988575*董事长 0.192453529311*产业 0.19056681344*腐败 0.188680424897*谢亚龙
