0.225687368813*冰桶 0.209632868108*挑战 0.194954215936*活动 0.185780215533*慈善 0.18394533161*冰水
0.359746416552*冰桶 0.35121026828*挑战 0.126833827056*中国 0.0829338929817*参加 0.0792755951301*活动
0.330021586993*冰桶 0.293297926957*挑战 0.153351070431*冻 0.114642329361*全球 0.108687086258*关注
0.20958494168*贵金属 0.20439921187*纸 0.203504987085*白银 0.191344755418*黄金价格 0.191166103947*咨询
0.343015340645*冰桶 0.238175672348*挑战 0.163533937047*请加 0.131056152709*白银 0.124218897252*纸
0.215951119057*冰桶 0.203762482612*纸黄金 0.195813547277*黄金价格 0.193958594001*咨询 0.190514257054*验证
0.331772628415*冰桶 0.22790491622*挑战 0.204650593574*中国 0.145740756797*活动 0.0899311049935*工作
0.21538403494*冰桶 0.209686411071*挑战 0.198290600216*关注 0.188604414391*专业 0.188034539381*奥巴马
0.222221625693*挑战 0.200878742025*冰桶 0.19962327828*病 0.191462763936*冰水 0.185813590065*风靡
0.221349049096*巡视 0.208006020358*玩 0.206436272185*玩 0.185243825527*发现 0.178964832834*手机
0.290865597204*投资 0.199923301965*基础知识 0.170760202841*冰桶 0.169992825918*请加 0.168458072072*挑战
0.230584140368*验证 0.203259685216*财团 0.191275359546*白银 0.190796050726*鼎 0.184084764143*纸黄金
0.218719538312*咨询 0.197447433587*黄金价格 0.197253894173*专业 0.195706809634*贵金属 0.190872324295*纸
0.332982028045*冰桶 0.314427996351*挑战 0.137116637439*参与 0.132993105079*完成 0.0824802330864*活动
0.323795081523*巡视组 0.286038749239*巡视 0.164188789956*工作 0.127004294141*问题 0.0989730851407*调查
0.207296089374*冰桶 0.203337236475*冻 0.198246707416*挑战 0.195984361927*关爱 0.195135604807*善款
0.227783920281*挑战 0.205882123286*投资 0.204630458173*冰桶 0.193367033811*专业 0.168336464448*白银
0.241891235764*冰桶 0.240138330402*挑战 0.196319254561*冰水 0.176162298528*陈光标 0.145488880745*作假
0.212102780724*请加 0.205424019474*黄金 0.19712603507*验证 0.193483193943*白银 0.191863970789*现货
0.256474970204*公益 0.229273570116*冰桶 0.194948283928*挑战 0.171633164596*罕见 0.147670011155*冻
