0.203791394923*冰桶 0.203062159967*冻 0.202697542489*渐 0.201604212429*挑战 0.188844690193*硬化症
0.208597690654*冰桶 0.201270298689*挑战 0.197850453805*罕见 0.196384876587*公益 0.195896680265*中国
0.204741110784*冰桶 0.20150846112*挑战 0.199353470067*咨询 0.197198479014*白银 0.197198479014*黄金
0.365276106825*冰桶 0.297512430486*挑战 0.127278571889*接受 0.115709386034*冻 0.0942235047661*冰水
0.36840025503*巡视组 0.275679739013*中央 0.120310666398*巡视 0.120310666398*调查 0.115298673162*恐怖
0.207193144269*巡视 0.200938348538*恐怖 0.197810692316*需要 0.197028907439*生物 0.197028907439*睡
0.207282259312*巡视组 0.204481538741*董事长 0.201680432343*调查 0.193277884802*产业 0.193277884802*体
0.290900849358*冰桶 0.277679600185*挑战 0.209916783902*活动 0.125626251123*捐 0.0958765154321*发起
0.3081408616*巡视 0.199395690372*问 0.199395690372*道 0.160126974295*进行 0.132940783361*时间
0.202046034179*巡视 0.200127678433*电话 0.199488650417*时间 0.199488650417*门 0.198848986552*走进
0.204043809877*巡视 0.204043809877*手机 0.197610573801*发现 0.197610573801*提醒 0.196691232645*班主任
0.297766959327*冰桶 0.257771457859*挑战 0.180002214448*关注 0.155560422388*慈善 0.108898945979*渐
0.229716961531*侧索 0.223739198572*肌萎缩 0.18445831099*贾 0.182750661393*呼吁 0.179334867514*奥巴马
0.377125950228*冰桶 0.25523265378*挑战 0.123816805566*小 0.121912295213*慈善 0.121912295213*巡视
0.223092413921*发起 0.221667350476*朋友 0.18959423746*玩 0.187455767483*选择 0.178190230661*玩
0.34735857143*冰桶 0.289467790206*挑战 0.126320677748*冻 0.123689278601*爱心 0.113163682015*慈善
0.211077361354*善款 0.20583791081*侠 0.195359541216*库克 0.194611200136*拒绝 0.193113986484*冰桶
0.242005857651*冰桶 0.214610855005*挑战 0.202435090577*渐 0.179605765933*冻 0.161342430835*厦门
0.219347644581*证明 0.207854191065*疑惑 0.205938350549*捐款 0.18774005132*麻烦 0.179119762485*截图
0.278876767466*巡视组 0.215137956053*中央 0.201195003628*记者 0.157374629068*巡视 0.147415643786*部门
