0.336822484647*春晚 0.231305833514*舞台 0.167716090466*观众 0.147450960076*歌手 0.116704631297*喜欢
0.466322988015*春晚 0.16272349529*央视春晚 0.132873297748*主持 0.119040109474*冯小刚 0.119040109474*央视
0.399086039046*邓紫棋 0.243819882224*我是歌手 0.147588827635*喜欢 0.108232331047*歌手 0.101272920047*张宇
0.232398944861*邓紫棋 0.230702494424*喜欢 0.206954733998*我是歌手 0.167940447054*红包 0.162003379663*鄧紫棋
0.4287020633*春晚 0.180508010004*过年 0.17142004544*春节 0.141335965298*回家 0.0780339159575*红包
0.317490877254*邓紫棋 0.310982584005*我是歌手 0.158548952511*韦唯 0.128377692837*视网 0.0845998933927*精彩
0.402760908706*春晚 0.168859349006*赵本山 0.148098808093*记者 0.14256266385*小品 0.137718270345*观众
0.440305079409*春晚 0.184897412433*卫视 0.157135967646*春节 0.12437720232*中国 0.0932843381921*晚会
0.393467407522*红包 0.356613247024*飞 0.101953590286*头条 0.100298492777*博客 0.0476672623908*中国
0.371017071514*红包 0.241624405992*过年 0.167923833986*春晚 0.12311729711*飞 0.0963173913975*中国
0.373130583073*春晚 0.223879697141*冯小刚 0.152453074482*导演 0.127933613279*审查 0.122603032025*肯定
0.276187658026*春晚 0.189011273537*我是歌手 0.185348364716*歌手 0.176557806271*邓紫棋 0.17289489745*湖南卫视
0.32174914655*红包 0.213173885591*手机 0.164314862335*新年 0.156352863521*活动 0.144409242002*飞
0.31984004444*春晚 0.195952439129*马 0.168905157974*小品 0.163609225777*语言 0.15169313268*节目
0.404206977174*邓紫棋 0.237507894869*我是歌手 0.148629368294*喜欢 0.117372903779*韩磊 0.0922828558842*歌手
0.376449908909*红包 0.349594162829*飞 0.106985379608*土豆 0.0953472915198*喜欢 0.071623257134*比赛
0.368446118969*邓紫棋 0.230421611984*喜欢 0.158874474097*我是歌手 0.137466542836*感觉 0.104791252115*韦唯
0.418678602258*春晚 0.195867198798*红包 0.143757917512*歌曲 0.124890976559*期待 0.116805304873*电视
0.542872753487*春晚 0.136381799949*观看 0.129581906807*马 0.100870749675*卫视 0.0902927900817*节目
0.34105385431*红包 0.248342195286*春晚 0.234270280691*飞 0.0894083442018*我是歌手 0.086925325512*节目
