0.269794303955*冰桶 0.235457776348*挑战 0.184303203661*公益 0.164682379745*冻 0.145762336292*捐款
0.20545077625*挑战 0.199161315084*接受 0.198811975653*冰桶 0.198811975653*侧索 0.19776395736*硬化症
0.280471921356*冰桶 0.261642045463*挑战 0.160556816876*冻 0.151637842138*渐 0.145691374167*爱心
0.291778192077*挑战 0.286112898494*冰桶 0.147312582807*浇 0.145896103686*公益 0.128900222937*点名
0.200266821962*比尔盖茨 0.200266821962*全美 0.200000200467*助力 0.199733077804*组织 0.199733077804*浇头
0.345375658151*冰桶 0.278473916477*挑战 0.133821731438*报道 0.128396956219*渐 0.113931737715*佛罗里达州
0.328436349776*冰桶 0.281519118034*挑战 0.155428306042*活动 0.123172882686*参与 0.111443343462*渐
0.205217466301*厦门 0.201520176568*一同 0.198644180089*浇下 0.198233533462*人士 0.19638464358*海峡两岸
0.337439269163*挑战 0.312676967411*冰桶 0.133137289931*浇 0.120755263339*朋友 0.0959912101564*公益
0.351489503754*巡视组 0.218043439492*中央 0.201127839158*巡视 0.133464941062*问题 0.0958742765342*小
0.205961829939*巡视 0.200542147604*发现 0.198509430409*上课 0.19783185801*信息 0.197154734038*正好
0.215785368521*中央 0.210523400324*巡视组 0.194738389183*飞机 0.189476420986*冰桶 0.189476420986*中心
0.224051426011*侧索 0.208582343096*硬化症 0.189621158713*俗称 0.189621158713*渐 0.188123913468*患者
0.248916779624*丈夫 0.206007178569*时间 0.188843488673*消逝 0.180261643725*每件事 0.175970909408*陌生
0.367464676211*冰桶 0.258345394778*挑战 0.131410866648*点名 0.122503054791*发 0.120276007572*接受
0.2047034513*巡视 0.199893058481*妻 0.198824301802*点整 0.198289594208*妻子 0.198289594208*房间
0.209301981939*巡视 0.200357692759*需要 0.199463214585*睡 0.195885794445*守 0.194991316272*屋
0.273897186723*巡视 0.213040564777*巡视组 0.178265545238*中央 0.169571790353*政府 0.16522491291*爱
0.20165738973*质疑 0.200276319982*点 0.199585520027*玩 0.199585520027*截图 0.198895250233*玩
0.357246557985*冰桶 0.267531004123*挑战 0.135404924876*渐 0.123986736229*接受 0.115830776787*冻
