0.337421680494*冰桶 0.238911419582*挑战 0.152715214805*条 0.14286414495*水 0.128087540169*发
0.202006721075*照片 0.201610753721*规则 0.199498415747*相似 0.199234181469*要求 0.197649927988*被邀请者
0.381653810898*需要 0.23632972603*适合 0.145504157548*剧毒 0.12733875139*恐怖 0.109173554133*夜班
0.297833183891*挑战 0.292009209432*冰桶 0.168054482569*冻 0.135610027799*渐 0.106493096308*活动
0.250285202011*冰桶 0.227775216114*挑战 0.215947675917*活动 0.167493951513*颜 0.138497954445*接受
0.204240916545*渐 0.202753264061*罕见 0.19940483101*瓷娃娃 0.196800494192*捐款 0.196800494192*参加
0.366869663685*冰桶 0.303563005947*挑战 0.1168898913*活动 0.112019976309*爱心 0.10065746276*全球
0.250769472654*巡视组 0.194444616557*进驻 0.19213000254*巡视 0.190586797445*国资委 0.172069110804*央企
0.314432057056*冰桶 0.210525478947*中秋 0.172741567785*巡视 0.159246843848*挑战 0.143054052365*中秋节
0.205997392438*挑战 0.204693611473*冰桶 0.197305519339*病 0.19643633203*罕见 0.19556714472*公益
0.202834401307*巡视 0.199291399673*验尸官 0.199291399673*生物 0.199291399673*化妆师 0.199291399673*饲养
0.249466217403*巡视组 0.226212948683*发现 0.192389666292*时间 0.167022680348*严查 0.164908487274*中央
0.223544085269*成功 0.210317122141*侧索 0.200396710417*硬化症 0.185185816447*捐出 0.180556265726*善款
0.205111894043*巡视 0.203241765411*问 0.198254337494*时间 0.197007794189*电话 0.196384208862*熟悉
0.314243697025*挑战 0.286231074865*冰桶 0.158346151214*冻 0.130333078777*渐 0.11084599812*完成
0.215852225441*巡视 0.20028297978*玩 0.19674461633*发现 0.19462159826*玩 0.19249858019*偷偷
0.222873287055*冰桶 0.219940814356*挑战 0.186217378313*捐款 0.185484260138*冰水 0.185484260138*发起
0.218435748816*贾 0.199213783183*挑战者 0.195718983226*奥巴马 0.194844717369*奥普拉 0.191786767406*马扎
0.255128053147*挑战 0.248288400122*冰桶 0.189466741585*接受 0.168263817207*照片 0.138852987939*参与者
0.237053588653*冰桶 0.220064036178*挑战 0.203074177485*接受 0.190129756551*要求 0.149678441133*100
