0.212772860417*活动 0.205327516335*发布 0.196723998303*参与者 0.193084322441*小时 0.192091302503*侧
0.241953468564*巡视 0.19433755542*时间 0.19433755542*问 0.187902992005*电话 0.181468428591*门
0.210448493452*100 0.203055770567*规则 0.198250241215*照片 0.194430727604*发布 0.193814767163*要求
0.20828220789*巡视 0.199756573244*生物 0.198538299827*需要 0.197320406289*师 0.196102512751*剧毒
0.22031981008*活动 0.204708530695*照片 0.193503615167*规定 0.192118919671*100 0.189349124387*相似
0.283060678722*巡视组 0.255219126865*巡视 0.158237378124*国资委 0.151741408145*中国 0.151741408145*进驻
0.328194796168*冰桶 0.275908580539*挑战 0.152662153651*冻 0.127919612869*活动 0.115314856773*爱心
0.217918600097*冰桶 0.200577803554*需要 0.195954037137*公益 0.193641896624*湿身 0.191907662587*爱
0.219320928213*冰桶 0.217036183461*挑战 0.190274319906*冰水 0.187336929682*风靡 0.186031638737*中国
0.211973802471*颜 0.207368402256*被邀请者 0.204170494249*点 0.191122124849*相似 0.185365176175*规定
0.213784236288*点 0.203054120329*参与者 0.19995888652*侧 0.194593619205*冰桶 0.188609137659*接受
0.225383048695*冰桶 0.212273132383*挑战 0.189958391904*公益 0.188563752023*冻 0.183821674995*罕见
0.212032007627*挑战 0.209367255148*照片 0.196045505711*颜 0.192539739797*100 0.190015491717*规则
0.209511810974*挑战 0.206329656752*参与 0.204914973999*接受 0.194130222939*冰桶 0.185113335335*颜
0.221018573497*冰桶 0.214926302986*要求 0.19258757739*美元 0.18581825447*发布 0.185649291657*被邀请者
0.203790270465*挑战 0.201726425688*关注 0.201351000604*冰桶 0.197973499094*公众 0.195158804149*上传
0.225086075975*巡视员 0.197322773551*浙江省 0.197322773551*丁勇 0.197322773551*立案侦查 0.182945603371*进行
0.234207830524*冰桶 0.198336304557*规定 0.19599702525*小时 0.187678954867*挑战 0.183779884802*24
0.269657748274*冰桶 0.250656368899*挑战 0.163938206049*颜 0.161108228999*活动 0.15463944778*点
0.250912694849*冰桶 0.227604508878*挑战 0.197440672865*玩 0.196983734572*玩 0.127058388836*发
