0.31364167405*冰桶 0.278650460708*挑战 0.157946092181*小伙伴 0.132585529182*微信 0.117176243879*开学
0.206213835129*规则 0.201614382269*100 0.200394110069*颜 0.196827472527*接受 0.194950200007*参与者
0.201966170782*侧索 0.200900309667*冰桶 0.199360219504*挑战 0.199242156918*硬化症 0.198531143129*肌萎缩
0.215488896669*点 0.206875427567*参与者 0.196737651303*参与 0.192392765471*发布 0.188505258991*颜
0.206568680852*照片 0.20240434269*参与者 0.200204348349*相似 0.195646964574*参与 0.195175663535*24
0.225303657787*颜 0.202872903254*侧 0.191381375999*被邀请者 0.191160112964*发布 0.189281949996*要求
0.21052144155*活动 0.209466122175*点 0.198645239817*颜 0.191431318245*小时 0.189935878213*参与者
0.230370647762*挑战 0.227196719986*冰桶 0.206147427357*公益 0.168560401858*病 0.167724803037*罕见
0.233220336306*挑战 0.204724378359*接受 0.191038825381*参与 0.1887891214*冰桶 0.182227338554*点
0.208375966866*24 0.203846218809*发布 0.197692322053*被邀请者 0.196922918276*小时 0.193162573996*颜
0.230889813804*照片 0.200338255435*发布 0.199492839326*要求 0.186330155459*颜 0.182948935977*被邀请者
0.210155973761*照片 0.209181328032*冰桶 0.1953227443*挑战 0.19488956842*颜 0.190450385487*要求
0.204955879288*小时 0.201019061074*照片 0.199050420363*要求 0.197892396415*规则 0.197082242861*参与者
0.210436581425*规定 0.201522551793*参与者 0.20001990507*相似 0.194110703812*活动 0.193910257901*参与
0.373043027097*巡视 0.220936471505*巡视组 0.15558266664*中央 0.135340167133*电话 0.115097667625*工作
0.210154809024*发布 0.208413714037*颜 0.194971222304*侧 0.19448723068*规则 0.191973023955*挑战
0.238771160481*冰桶 0.231668790093*挑战 0.189471699026*活动 0.179026901126*接受 0.161061449274*颜
0.208897051872*小时 0.203799838841*挑战 0.202316996862*参与 0.193234477201*24 0.191751635223*100
0.26443020211*挑战 0.257013317886*冰桶 0.167204361586*点名 0.156562881971*活动 0.154789236447*点
0.212657607437*成功 0.202531279118*巡视员 0.202531279118*微 0.191139917164*冰桶 0.191139917164*关爱
