0.204324942741*参与者 0.200676283049*被邀请者 0.200053448889*接受 0.198451749126*挑战 0.196493576194*24
0.220667881102*颜 0.198188856387*活动 0.196167084129*规定 0.19406473875*发布 0.190911439631*颜
0.221000108193*24 0.202566470024*冰桶 0.199103830588*相似 0.192483876469*发布 0.184845714726*接受
0.230712321463*挑战 0.21570478012*冰桶 0.187909607653*接受 0.183153551767*发布 0.182519738996*规则
0.201205559343*呼吁 0.200836331482*公众 0.19960647195*上传 0.199237244089*侠 0.199114393137*捐钱
0.208647932447*照片 0.200038290919*侧 0.199368647163*要求 0.198794730704*小时 0.193150398767*挑战
0.254452762779*冰桶 0.219754715269*挑战 0.186097576035*100 0.173490651923*颜 0.166204293995*参与
0.283016959255*巡视员 0.19400115012*工作 0.179971420161*受贿 0.173682215156*现象 0.169328255308*浙江省
0.206739780805*被邀请者 0.206414975412*100 0.20081196754*参与 0.193341443514*相似 0.192691832729*规定
0.236130402733*挑战 0.21692746292*冰桶 0.191085928629*罕见 0.180417575788*病 0.17543862993*公益
0.276744306104*巡视组 0.208523814846*中央 0.193077959044*电话 0.165904239403*先生 0.155749680603*施
0.204081482079*被邀请者 0.202181155828*小时 0.200980367292*发布 0.197278858236*照片 0.195478136564*规则
0.216071660733*24 0.200293271206*颜 0.198913437882*相似 0.194344042368*照片 0.19037758781*参与
0.210900013178*颜 0.200692424157*点 0.197230764127*活动 0.195810253296*接受 0.195366545242*参与
0.207571110339*要求 0.201443558251*发布 0.201359693699*冰桶 0.197498751098*挑战 0.192126886612*相似
0.334997502848*冰桶 0.270257778751*挑战 0.178144964032*冰水 0.110363785422*朋友 0.106235968946*活动
0.207408179607*被邀请者 0.201687048647*24 0.198390352447*照片 0.196935968353*挑战 0.195578450945*接受
0.346859709242*挑战 0.192922744241*冰桶 0.156138127868*参与 0.155938104995*被邀请者 0.148141313654*24
0.208167624384*参与者 0.198951318943*被邀请者 0.19878261927*侧 0.19878261927*发布 0.195315818132*点
0.222506327541*参与者 0.20524301735*24 0.193973936926*小时 0.190137397386*活动 0.188139320797*规则
