0.22385326609*相似 0.223627505165*冰桶 0.184549481531*挑战 0.18409795968*要求 0.183871787533*照片
0.279621632209*巡视 0.188406225216*进行 0.183291324576*冰桶 0.180734195342*挑战 0.167946622656*微信
0.203508211052*冰桶 0.20261322389*活动 0.19831763207*颜 0.197959377286*参与者 0.197601555701*规定
0.200823380323*侧索 0.20048957749*肌萎缩 0.199821971822*捐出 0.199488168988*善款 0.199376901377*硬化症
0.213305894247*被邀请者 0.200879106736*相似 0.196559884403*侧 0.19549895041*照片 0.193756164204*规定
0.207602292096*照片 0.205409274325*侧 0.20157159917*颜 0.194627254782*挑战 0.190789579627*冰桶
0.240494307748*冰桶 0.217132056471*挑战 0.207970612732*接受 0.180027639586*100 0.154375383463*24
0.210026905624*接受 0.202845609049*被邀请者 0.199051358123*颜 0.19810319112*侧 0.189972936085*参与
0.202229188136*要求 0.200529054902*活动 0.20043462701*颜 0.198734062598*小时 0.198073067354*照片
0.212590741185*活动 0.209573443014*点 0.205733064953*挑战 0.204224217439*冰桶 0.16787853341*发布
0.313038566527*巡视组 0.21130378264*巡视 0.17826194611*问题 0.168696849829*情况 0.128698854893*中央
0.216048651768*参与者 0.203013646875*24 0.196357533147*参与 0.194323907634*规定 0.190256260577*要求
0.24211238324*挑战 0.24059204439*冰桶 0.177879645475*接受 0.173318628924*照片 0.166097297972*要求
0.209476673986*冰桶 0.203698200025*挑战 0.199364344555*罕见 0.196475107574*公益 0.19098567386*病
0.345805795088*挑战 0.33798480544*冰桶 0.143577137683*冻 0.0977682732258*点名 0.0748639885631*活动
0.211997094893*发布 0.201316454853*24 0.199205049393*挑战 0.196845586047*规定 0.190635814814*活动
0.210256501633*被邀请者 0.206937943041*冰桶 0.203318210916*24 0.190045280333*其他人 0.189442064077*颜
0.268075683983*巡视员 0.198254313167*站 0.182046107576*北京 0.178305752439*文化 0.173318142835*商报
0.231529692303*玩 0.230768026697*玩 0.219344374765*巡视 0.162986781588*发 0.155371124647*疑惑
0.238632209328*冰桶 0.218492330078*质疑 0.212999594605*冰水 0.166005939755*小白鼠 0.163869926233*陈光标
