0.292203292578*冰桶 0.272195094488*挑战 0.150480452029*规定 0.143810924128*接受 0.141310236777*侧
0.237506860761*挑战 0.216357693473*冰桶 0.196144456914*活动 0.190342505591*颜 0.15964848326*相似
0.307375845138*冰桶 0.252777889569*冻 0.190091422516*患者 0.12942725102*挑战 0.120327591758*中国
0.208005747661*活动 0.205995135155*颜 0.198318372517*侧 0.197221755772*相似 0.190458988894*点
0.208581241446*巡视 0.199642007613*回来 0.19725891698*电话 0.19725891698*问 0.19725891698*熟悉
0.214760891719*照片 0.204287937315*其他人 0.195539600887*发布 0.194677291899*小时 0.190734278179*要求
0.325452971633*巡视 0.18212638857*巡视组 0.168636757092*冰桶 0.1635780618*发现 0.160205820906*挑战
0.238093979641*照片 0.211267134544*参与者 0.189135307361*活动 0.185781900107*被邀请者 0.175721678347*要求
0.245364530026*小时 0.193529999335*参与者 0.189179129284*24 0.188989943179*冰桶 0.182936398176*要求
0.219034918323*被邀请者 0.215147190213*要求 0.194101926892*颜 0.188874027408*参与 0.182841937163*其他人
0.21590872252*巡视 0.211537917276*进行 0.194056240027*确保 0.190559698747*安全 0.187937421431*公司
0.219692642157*侧 0.204515446176*照片 0.193891067698*挑战 0.192563020388*规则 0.189337823581*参与
0.203810860288*巡视 0.20132558836*玩 0.19966860291*看看 0.19801161746*手机 0.197183330982*玩
0.216396375381*照片 0.211471219789*接受 0.194629864425*发布 0.189228094407*要求 0.188274445999*其他人
0.201649117432*巡视 0.200150101224*行业 0.200150101224*睡 0.199400094113*适合 0.198650586009*高空
0.2006546011*侧索 0.200109437537*捐出 0.199927266544*硬化症 0.199927266544*关注 0.199381428275*肌萎缩
0.215289593852*相似 0.200926729029*其他人 0.197065806551*规定 0.193667710418*颜 0.19305016015*活动
0.209446343012*挑战 0.20712351923*冰桶 0.201316218568*公益 0.192411819531*罕见 0.189702099659*瓷娃娃
0.239012399656*中央 0.235497892719*巡视组 0.230225878118*网 0.151146675885*冰桶 0.144117153621*善款
0.213394041338*冰桶 0.206171858419*巡视组 0.1989496755*感觉 0.196979801927*挑战 0.184504622815*慈善
