0.206340771396*照片 0.206340771396*颜 0.196465834564*挑战 0.19594596615*冰桶 0.194906656494*以内
0.266112901991*挑战 0.23636220387*冰桶 0.188430255159*参与 0.15454731949*接受 0.15454731949*相似
0.285884047519*冰桶 0.209815423079*冻 0.201226947546*渐 0.190184734212*挑战 0.112888847644*患者
0.205139391481*活动 0.205139391481*颜 0.202090325784*冰桶 0.194251057665*发布 0.193379833589*挑战
0.220228149022*被邀请者 0.203914969132*其他人 0.202610038222*发布 0.190864778023*小时 0.182382065601*24
0.213955531785*参与者 0.208363688378*颜 0.1954777499*发布 0.19304653295*100 0.189156496986*小时
0.220320714666*小时 0.206417117333*颜 0.195187354547*被邀请者 0.19144381503*参与者 0.186630998424*要求
0.308903608985*冰桶 0.26910717182*挑战 0.1901456788*点 0.117500830179*接受 0.114342710215*活动
0.344958063753*冰桶 0.239280236192*挑战 0.193419944873*10 0.116654196796*活动 0.105687558385*接受
0.205223694042*24 0.205223694042*颜 0.199253902152*其他人 0.198134250827*相似 0.192164458937*规则
0.203460644959*病 0.202266994713*公益 0.199880800991*挑战 0.199880800991*冰桶 0.194510758347*浇
0.214199990099*照片 0.202233836595*活动 0.195452674356*接受 0.194256103603*相似 0.193857395347*24
0.21243230914*挑战 0.205135078721*活动 0.199459314784*侧 0.193513797405*24 0.18945949995*接受
0.205022332698*肌萎缩 0.199618635803*侧索 0.199300486492*冰桶 0.198983028809*硬化症 0.197075516197*挑战
0.218945237865*100 0.210008977399*规则 0.193923251464*参与者 0.190646317895*点 0.186476215377*其他人
0.215815988213*点 0.204346517666*侧 0.203742907032*24 0.192273002233*被邀请者 0.183821584856*颜
0.255717904334*冰桶 0.254083666526*挑战 0.225489763053*捐款 0.133171101403*冰水 0.131537564684*慈善
0.208436670494*活动 0.200638204855*要求 0.197802192813*相似 0.197447634561*其他人 0.195675297277*接受
0.252815725335*冰桶 0.210949714199*挑战 0.19404214134*要求 0.173109135772*点 0.169083283353*接受
0.261150902861*冰桶 0.259838474524*挑战 0.19422619523*冻 0.175854567508*渐 0.108929859877*存在
