0.444054744642*春晚 0.181416004725*卫视 0.161188800072*环球 0.131164252331*北京 0.0821761982293*中国
0.472797615816*春晚 0.178435950648*春节 0.131204307142*节目 0.130727099438*马 0.0868350269572*电视台
0.376328681788*红包 0.237175351214*飞 0.168614327503*春晚 0.121891336786*喜欢 0.0959903027099*邓紫棋
0.419331380508*春晚 0.183978177642*参与 0.147515166241*大奖 0.128178663114*手机 0.120996612495*百度
0.321709557945*红包 0.321112012483*飞 0.154205792517*头条 0.150371691114*博客 0.0526009459412*中国
0.270237715399*过年 0.244023956618*红包 0.24016878311*春晚 0.127218018961*回家 0.118351525913*拜年
0.420331352531*红包 0.19059745329*飞 0.162575574961*新年 0.114868856173*关注 0.111626763045*微信
0.355214774828*红包 0.333204474462*飞 0.12599778715*博客 0.12030528428*头条 0.0652776792795*艺术
0.423277922099*春晚 0.229683066501*环球 0.14276867083*北京 0.122687091245*卫视 0.0815832493242*鹿晗
0.389459250126*春晚 0.161806960602*李敏镐 0.154751868712*手机 0.14863728011*红包 0.145344640448*粉丝
0.472033850608*春晚 0.164538255834*赵本山 0.126200884076*观众 0.125402339159*舞台 0.111824670324*冯小刚
0.224308285219*小米 0.224041177349*时代 0.216745125894*公司 0.185514651201*春晚 0.149390760338*梦想
0.327550971664*春晚 0.211773118251*马 0.188324585524*小品 0.140450109124*节目 0.131901215438*央视
0.480235092252*春晚 0.159364935359*央视 0.136169692428*节目 0.121565177946*马 0.102665102015*春节
0.373857815626*邓紫棋 0.234454884245*我是歌手 0.160792920519*喜欢 0.128714174132*歌手 0.102180205477*鄧紫棋
0.226864351695*想想 0.211939665775*心情 0.195025160001*感动 0.183085411265*正能量 0.183085411265*激动
0.260358914259*春晚 0.240990206506*冯小刚 0.191892038249*导演 0.168919546808*央视春晚 0.137839294179*主持
0.540797127108*春晚 0.162437566666*李敏镐 0.111286659121*马 0.101524857142*中国 0.083953789963*彩排
0.386366840421*邓紫棋 0.281501296467*我是歌手 0.13212900785*喜欢 0.107928882576*音乐 0.0920739726859*歌手
0.210752659722*小米 0.206236461765*时代 0.201505349397*广告 0.199999950078*央视春晚 0.181505579038*年轻
