0.354871765884*红包 0.247080553613*春晚 0.172685707345*过年 0.130329433863*飞 0.0950325392948*春节
0.465355050424*春晚 0.148599858435*春节 0.144898457271*文化 0.13379338368*回家 0.10735325019*观众
0.444560893237*春晚 0.167406944461*朋友 0.147451414012*现场 0.124724829634*过年 0.115855918657*主持人
0.568440717826*春晚 0.135126652527*春节 0.113903095706*卫视 0.100107915646*节目 0.0824216182951*中国
0.234968395592*时代 0.234318608693*春晚 0.203119976789*公司 0.199220119402*小米 0.128372899524*梦想
0.366967641635*邓紫棋 0.2742728968*我是歌手 0.14931121634*歌手 0.105604172321*音乐 0.103844072904*喜欢
0.298845176087*春晚 0.194787070124*央视 0.177875215099*马 0.170314779215*彩排 0.158177759475*李敏镐
0.274283598991*手机 0.226427346595*活动 0.205714019588*新年 0.162144086092*实在 0.131430948735*代金券
0.472813262158*红包 0.292280844766*飞 0.104028744524*微信 0.0748344274772*春节 0.0560427210744*关注
0.285605887295*优 0.225175089651*高清 0.221915339557*春晚 0.134404068827*飞 0.13289961467*卫视
0.30629008829*春晚 0.190728396165*李娜 0.182450561151*冯小刚 0.162583286682*邀请 0.157947667712*家人
0.529363153921*春晚 0.13040876213*节目 0.124598874274*现场 0.112333436296*邓紫棋 0.103295773379*李敏镐
0.220536533655*春晚 0.213535366794*猜猜 0.212135133422*竞猜 0.208634772462*金币 0.145158193668*擂主
0.287058059915*过年 0.212156362817*喜欢 0.172157162622*礼物 0.164706419175*年货 0.163921995471*发红包
0.448290752603*春晚 0.163650947025*节目 0.156412084652*李敏镐 0.123578938268*马 0.108067277452*央视春晚
0.225562566554*小米 0.216084169451*公司 0.215000235856*时代 0.196046653305*梦想 0.147306374834*制作
0.35578064696*红包 0.284778350985*飞 0.136371019377*头条 0.133323692547*博客 0.0897462901311*微信
0.215703969497*感动 0.21475803817*心情 0.199621699348*激动 0.187323154508*正能量 0.182593138476*想想
0.496506743749*春晚 0.200760181895*马 0.118431994831*节目 0.092467167165*语言 0.0918339123596*春节
0.596951087933*春晚 0.128596532404*节目 0.105589557493*电视 0.0907993593364*央视春晚 0.078063462833*导演
