0.236047321832*春晚 0.217444733008*主持人 0.186441007541*奶茶 0.18230719712*妹妹 0.177759740499*学习
0.333817931011*春晚 0.183996802681*马 0.167118573232*节目单 0.165451646959*春节 0.149615046117*联欢晚会
0.263001877236*微信 0.254988210876*微信 0.212626849822*红包 0.162578161316*支付 0.10680490075*支付宝
0.261313887578*红包 0.254426917888*微信 0.247933383276*微信 0.122983722552*支付 0.113342088707*腾讯
0.423643639545*春晚 0.179170028217*过年 0.148337688297*家人 0.131586129942*李娜 0.117262513998*手机
0.512703600999*春晚 0.170234695054*春节 0.111038324833*晚会 0.107359298814*节目 0.0986640803006*中国
0.432668389403*春晚 0.155918483992*马 0.149539932862*冯小刚 0.138200867808*央视 0.123672325935*节目
0.373489957675*春晚 0.194161380945*过年 0.170992500547*红包 0.146433181351*春节 0.114922979482*除夕
0.595263016308*春晚 0.118677754844*卫视 0.10685790774*播出 0.0912555417189*中国 0.0879457793887*节目
0.217201638775*项目 0.215966832288*国家 0.190324038652*春晚 0.18828996065*总导演 0.188217529634*开幕式
0.281454199625*红包 0.222996080069*春晚 0.221060241302*飞 0.151375309699*卫视 0.123114169305*春节
0.348524639023*春晚 0.201963522157*参加 0.173212284396*中国 0.161992209581*马 0.114307344843*奥运会
0.396576757087*春晚 0.176682640666*节目 0.160252606144*小品 0.141796787759*马 0.124691208345*央视春晚
0.220525302407*时代 0.218272656729*公司 0.212515567514*小米 0.179975219913*春晚 0.168711253436*梦想
0.539101649481*春晚 0.167493552139*节目 0.102634362546*马 0.0992004236606*央视春晚 0.0915700121738*中国
0.248110881088*红包 0.247733311049*春晚 0.168807301582*金币 0.16767425314*竞猜 0.16767425314*猜猜
0.35184881201*春晚 0.215377943065*李敏镐 0.167472623481*歌曲 0.13486433733*期待 0.130436284113*情非得已
0.215700172032*春晚 0.211739282298*李敏镐 0.194814813001*庾澄庆 0.190313264064*玛索 0.187432468605*苏菲
0.390190003248*红包 0.27651546319*飞 0.132278648495*过年 0.10521924786*头条 0.0957966372066*博客
0.288062098646*邓紫棋 0.234077877899*春晚 0.217207583214*我是歌手 0.168705655271*喜欢 0.0919467849704*歌手
