0.269924125552*微信 0.264046777902*微信 0.190329332991*红包 0.166821839076*支付 0.108877924478*用户
0.32942968768*红包 0.231605053222*过年 0.151617137389*发红包 0.149387457756*微信 0.137960663954*微信
0.240010841898*春晚 0.221208180056*语言 0.196322380637*类节目 0.182082164929*节目单 0.16037643248*央视
0.337827955983*春晚 0.241769804078*春节 0.169995205664*联欢晚会 0.136266649017*中央电视台 0.114140385258*娱乐
0.544794002922*春晚 0.146816608253*卫视 0.122347612363*过年 0.0935606358139*回家 0.092481140649*期待
0.481342131819*春晚 0.171181019777*央视春晚 0.122638667918*感动 0.120083831871*心情 0.104754348615*激动
0.454541893081*春晚 0.228964591803*过年 0.115047462893*红包 0.104670741257*春节 0.0967753109656*除夕
0.284734935798*微信 0.282533228362*微信 0.230674820401*红包 0.113503873922*抢红包 0.0885531415174*发红包
0.465826539908*春晚 0.14597748961*马 0.135059644987*直播 0.127781231639*看点 0.125355093856*小品
0.331118918526*春晚 0.194201861858*直播 0.165211952061*马 0.161369849963*春节 0.148097417592*除夕
0.221742850953*春晚 0.210467672518*节目单 0.196408682389*李敏镐 0.189448717228*庾澄庆 0.181932076913*情非得已
0.542628484761*春晚 0.145350252886*卫视 0.127521108259*辽宁 0.0969012168528*节目 0.0875989372417*美丽
0.231341155946*公司 0.223133577664*时代 0.211592899152*小米 0.175173348108*春晚 0.158759019129*梦想
0.392697648981*春晚 0.207802785523*红包 0.144192409769*飞 0.136559231784*马 0.118747923943*中国
0.392390311897*春晚 0.201687011409*节目单 0.148201480413*马 0.139605532736*节目 0.118115663544*冯小刚
0.299159044866*邓紫棋 0.278364329064*春晚 0.179496811849*我是歌手 0.122584434172*舞台 0.120395380048*歌手
0.240237644978*红包 0.222342253112*微信 0.21474996217*微信 0.176790125854*手机 0.145880013886*抢红包
0.411027297329*红包 0.288420578*飞 0.110859226893*头条 0.104984650286*博客 0.084708247492*微信
0.328181419078*红包 0.327427950443*春晚 0.123965096964*飞 0.114545563936*过年 0.105879969579*希望
0.393260796868*春晚 0.212694546113*李敏镐 0.154663967897*韩国 0.149223733015*中国 0.0901569561069*明星
