0.325753873213*我是歌手 0.263401350916*邓紫棋 0.156761103998*唱 0.128207282975*歌手 0.125876388898*周笔畅
0.270396716427*春晚 0.254630258021*直通 0.217185401117*白举纲 0.160032333547*陪 0.0977552908877*投票
0.397144704509*春晚 0.25157993929*直通 0.1985760491*白举纲 0.0870296549845*陪 0.0656696521158*加油
0.26819936177*我是歌手 0.200214238301*歌手 0.182013290051*邓紫棋 0.18147811736*罗琦 0.168094992518*周笔畅
0.202004268295*小刚 0.201476689891*春晚 0.198839680605*温暖 0.198839680605*日历 0.198839680605*世界杯
0.403235045053*我是歌手 0.234721548255*邓紫棋 0.132409252229*唱 0.130094482345*喜欢 0.0995396721187*感觉
0.476856894106*春晚 0.146478689675*节目 0.142073787502*卫视 0.132162398245*中国 0.102428230473*湖南卫视
0.355447343871*春晚 0.223221843235*停办 0.162559854101*除夕 0.129859376086*放假 0.128911582707*春节
0.26645739227*春晚 0.239347895626*马 0.17660820901*主持人 0.160342456014*主持 0.15724404708*谢娜
0.364345595058*我是歌手 0.187915755011*大脑 0.156496778837*最强 0.151662944045*今晚 0.139578927049*中国
0.30923437897*我是歌手 0.204819317621*邓紫棋 0.179830899825*爱 0.166444113999*周笔畅 0.139671289585*韩磊
0.501966063556*春晚 0.169538737183*文化 0.127157202979*举办 0.101993459191*中国 0.099344537091*亮相
0.411589765364*我是歌手 0.214218180715*邓紫棋 0.169318685801*喜欢 0.106646025444*爱 0.0982273426755*希望
0.222380510211*张宇 0.212856767224*我是歌手 0.20285699587*周笔畅 0.184286173392*曹格 0.177619553302*韩磊
0.212567754182*韦唯 0.210964880958*韩磊 0.203590929933*罗琦 0.188201611617*张宇 0.18467482331*曹格
0.486873365746*我是歌手 0.141077484066*节目 0.132338821703*芒果 0.128593826606*歌手 0.111116501879*主持
0.263022082814*我是歌手 0.246504294856*歌曲 0.242057150414*中国 0.137867263421*节目 0.110549208494*最强
0.339426598943*春晚 0.280276035961*我是歌手 0.169016323786*感觉 0.108457254117*时间 0.102823787192*晚上
0.362996449232*春晚 0.166475889142*马 0.160696036736*董卿 0.159539843124*主持人 0.150291781765*思思
0.338293877707*我是歌手 0.205083052621*邓紫棋 0.168274695722*唱 0.163892903186*喜欢 0.124455470764*歌
