0.37746698345*春晚 0.17647088134*节目单 0.163013310805*李敏镐 0.147602039314*小品 0.135446785091*期待
0.339233953799*春晚 0.237787600768*马 0.156737430003*红包 0.140098383933*新年 0.126142631497*手机
0.540288973097*春晚 0.140764638723*过年 0.134746871491*除夕 0.103873706781*晚上 0.0803258099073*除夕夜
0.364823499649*春晚 0.246858401187*红包 0.141454252192*准备 0.126708553001*过年 0.120155293971*马
0.35468599349*春晚 0.198828225053*节目 0.15312540197*央视 0.152148860345*马 0.141211519141*央视春晚
0.502152550766*春晚 0.144535534885*除夕 0.12662350653*晚上 0.116741258981*春节 0.109947148838*过年
0.455154944155*春晚 0.142858790936*新年快乐 0.141294214528*红包 0.13086736754*时间 0.129824682841*喜欢
0.286810658554*春晚 0.231795391809*时代 0.167476311194*小米 0.158981465833*红包 0.15493617261*梦想
0.247712249685*新年快乐 0.241615224651*春晚 0.195121904868*希望 0.170351345047*红包 0.14519927575*新年
0.513028465369*春晚 0.158287518103*节目 0.126631320141*春节 0.11173375409*中国 0.0903189422959*央视
0.487247314225*春晚 0.177451878522*红包 0.12255118548*过年 0.108335549924*参与 0.10441407185*小伙伴
0.336338635354*春晚 0.23879274291*过年 0.201015100993*红包 0.117565488947*晚上 0.106288031796*新年快乐
0.271137806618*红包 0.262402874252*飞 0.162125120982*春节 0.161426260056*春晚 0.142907938092*卫视
0.543744090437*春晚 0.131537467111*喜欢 0.113376256701*除夕 0.108422799747*华晨 0.102919386004*过年
0.414120963504*红包 0.162169563271*新年快乐 0.158890712987*微信 0.151072438421*微信 0.113746321817*过年
0.233024176703*微信 0.226079848151*微信 0.222736404144*红包 0.16178044891*领取 0.156379122092*绑定
0.49692373121*春晚 0.204009075594*李敏镐 0.102814437157*中国 0.10055101818*期待 0.095701737859*韩国
0.354010234669*红包 0.208025023599*微信 0.180990510574*微信 0.139443220774*祝福 0.117531010384*新年
0.292935967363*微信 0.292690145595*微信 0.240832814649*红包 0.0999594885727*支付 0.0735815838198*发红包
0.428033404996*春晚 0.163924724973*过年 0.147053271107*除夕 0.136638777449*晚上 0.124349821476*年夜饭
