0.485294274746*春晚 0.17772586411*节目 0.124122925004*喜欢 0.119699310771*冯小刚 0.0931576253689*不错
0.555548759603*春晚 0.119725817804*红包 0.112835505738*开心 0.106806188625*时间 0.10508372823*新年快乐
0.324042234718*春晚 0.195046489205*北京 0.17492322033*小米 0.160475831681*女孩 0.145512224065*陪伴
0.355254336836*春晚 0.210512939448*红包 0.17648596088*马 0.134079200656*祝福 0.12366756218*朋友
0.459904937756*春晚 0.224298681824*红包 0.106740955964*新年 0.105265652839*我是歌手 0.103789771617*喜欢
0.446257817538*春晚 0.160547406778*过年 0.147682119205*红包 0.135889536014*新年 0.109623120464*回家
0.603043755269*春晚 0.109735035196*晚上 0.0997161275182*感觉 0.0963766631706*节目 0.0911284188467*希望
0.289679342172*红包 0.220392815216*微信 0.191400522437*微信 0.156511733282*春晚 0.142015586893*祝福
0.486318787014*春晚 0.148099722178*节目 0.135758520984*马 0.122416347127*冯小刚 0.107406622697*冯导
0.377893835441*我是歌手 0.23607381796*邓紫棋 0.14252943794*喜欢 0.132096284357*张杰 0.111406624302*品冠
0.532550025317*春晚 0.177663206407*李敏镐 0.100045419489*中国 0.0991829185176*韩国 0.0905584302691*红包
0.453614753882*春晚 0.21578778817*节目 0.120818147827*小品 0.11160165609*喜欢 0.0981776540319*李敏镐
0.481575787545*春晚 0.164575433819*冯小刚 0.124697144659*马 0.117612134622*冯导 0.111539499354*北京
0.353587119524*春晚 0.228775362021*红包 0.183795284901*过年 0.135836523839*希望 0.0980057097151*新年快乐
0.468378151595*春晚 0.168873309106*魔术 0.136520675713*节目 0.118628510616*表演 0.107599352971*穿帮
0.280567504846*春晚 0.263414975414*彩旗 0.22641471805*小时 0.135752026543*旋转 0.0938507751466*观众
0.638260338569*春晚 0.0952403568884*喜欢 0.0908718922967*希望 0.0904350458376*年夜饭 0.0851923664082*过年
0.289445546277*微信 0.287218873416*微信 0.258659479597*红包 0.090237501215*支付 0.0744385994959*抢红包
0.537440131717*春晚 0.158346008734*节目 0.108774740606*喜欢 0.107348463345*好看 0.0880906555972*中国
0.556569079301*春晚 0.116377476852*节目 0.11315777519*魔术 0.110397514681*中国 0.103498153976*马
