0.465450949733*春晚 0.241214611762*红包 0.126267008159*过年 0.0854695016271*微信 0.0815979287189*电视
0.431339430097*春晚 0.1961199991*节目 0.126706373109*不错 0.123371731779*中国 0.122462465915*我是歌手
0.405327962*春晚 0.226949925076*北京 0.166344634104*卫视 0.13238827033*节目 0.0689892084902*不想
0.306276043381*春晚 0.210311180194*我是歌手 0.1832572216*喜欢 0.151098642687*感觉 0.149056912137*声音
0.314106273641*微信 0.241587508853*红包 0.195611154478*支付 0.128527130981*支付宝 0.120167932046*打车
0.404516729444*春晚 0.174910359329*中国 0.166066741396*李敏镐 0.127744397023*喜欢 0.126761772808*节目
0.471173155733*春晚 0.234034289009*节目 0.11218627099*喜欢 0.0928563492333*主持 0.0897499350343*期待
0.320584831975*春晚 0.249428558279*红包 0.168189050234*过年 0.135655223953*新年快乐 0.126142335558*祝福
0.393187906523*红包 0.180395664205*过年 0.151840300604*春晚 0.138660836684*小孩 0.135915291983*一家人
0.387969201033*春晚 0.168279897691*家人 0.151964275324*演员 0.149497941929*晚上 0.142288684023*年夜饭
0.519731395083*春晚 0.141366745033*节目 0.120683858591*导演 0.111386058404*中国 0.106831942889*冯小刚
0.463896089008*打车 0.228983435126*司机 0.114750762647*回家 0.0972162604526*出租车 0.0951534527669*发现
0.475326324478*我是歌手 0.145861448608*喜欢 0.137710615544*邓紫棋 0.126985862082*春晚 0.114115749287*中国
0.610270082233*春晚 0.106204426079*节目 0.101818213181*红色 0.0917932682126*中国 0.0899140102942*冯小刚
0.601918103025*春晚 0.1238737182*李敏镐 0.0956120342661*彩旗 0.0941084763292*晚上 0.0844876681796*节目
0.491006465752*我是歌手 0.161791335417*张杰 0.124076015271*喜欢 0.113149275925*舞台 0.109976907634*邓紫棋
0.325274147924*春晚 0.298869253198*李敏镐 0.160491736739*中国 0.130208834755*韩国 0.0851560273841*喜欢
0.315530672013*春晚 0.261336266511*彩旗 0.206193698771*小时 0.127034865737*观众 0.0899044969681*旋转
0.403962339979*春晚 0.19414031336*时代 0.153892457905*梦想 0.137615824044*小米 0.110389064712*广告
0.484242135637*我是歌手 0.146825077315*品冠 0.137821788404*歌手 0.118845177324*高音 0.112265821319*邓紫棋
