0.360875886979*春晚 0.259952072028*彩旗 0.194964523964*小时 0.0929645383761*观众 0.0912429786523*旋转
0.392275465245*春晚 0.201816796741*小时 0.179753407983*彩旗 0.139520690256*观众 0.086633639775*估计
0.299063603607*春晚 0.223924918412*我是歌手 0.177196643243*喜欢 0.17383214703*节目 0.125982687709*感觉
0.250977329491*春晚 0.195374983901*演员 0.192144366971*团聚 0.186192948075*家人 0.175310371562*快乐
0.294319360227*红包 0.278130521544*打车 0.170382698486*司机 0.13190111178*头条 0.125266307963*博客
0.423003710717*春晚 0.204471469072*我是歌手 0.164443337675*红包 0.105302822991*声音 0.102778659544*过年
0.394442194808*春晚 0.202563267041*时间 0.137416828682*表演 0.135992673757*去哪儿 0.129585035712*失误
0.357241844904*春晚 0.240859299224*李敏镐 0.165364253597*中国 0.129919513692*韩国 0.106615088583*喜欢
0.409694746844*春晚 0.176388027583*中国 0.154955076518*李敏镐 0.136332683363*参加 0.122629465693*时间
0.457994230185*春晚 0.226548360158*节目 0.122704600668*张国立 0.10335636198*央视春晚 0.0893964470088*小品
0.313673716061*春晚 0.268089423475*红包 0.205291304665*过年 0.117948577547*晚上 0.0949969782515*回家
0.537915252438*春晚 0.142374533106*过年 0.120666108915*祝福 0.106006330283*新年快乐 0.0930377752574*红包
0.400765285499*春晚 0.17686628276*时代 0.15334837549*央视春晚 0.135350008645*小米 0.133670047606*广告
0.291522710488*打车 0.243501754755*春晚 0.16779736816*回家 0.166667640989*过年 0.130510525608*红包
0.463450878374*春晚 0.161713793077*北京 0.161446083807*节目 0.144311177996*卫视 0.0690780667458*精彩
0.47999515599*春晚 0.161389577492*娱乐 0.123056968502*凤凰 0.119723524957*冯氏 0.115834773059*节目
0.457748682981*我是歌手 0.146804440948*喜欢 0.142542889376*歌手 0.129464457195*邓紫棋 0.123439529501*品冠
0.326703234238*红包 0.318380184522*微信 0.125550214013*支付 0.118382552993*抢红包 0.110983814234*发红包
0.442678899068*春晚 0.225979673907*中国 0.114338305105*李敏镐 0.109549080899*节目 0.107454041021*喜欢
0.463686902731*打车 0.165164384772*手机 0.159943663879*司机 0.110111348703*春晚 0.101093699914*百度
