0.481380101771*打车 0.238250217132*司机 0.115565444255*出租车 0.088709227357*支付 0.0760950094856*软件
0.386659188074*我是歌手 0.221090263431*春晚 0.146847042634*节目 0.127465072596*歌手 0.117938433265*湖南卫视
0.43532307274*红包 0.171944750378*过年 0.145183410447*微信 0.12912669592*春晚 0.118422070515*春节
0.332719256962*春晚 0.21839643309*家人 0.155585133377*演员 0.147437977402*年夜饭 0.14586119917*电视
0.417535393362*春晚 0.176174270118*喜欢 0.157548520615*我是歌手 0.131937764676*节目 0.116804051229*李敏镐
0.359029455655*春晚 0.228844387814*央视 0.179007732897*马 0.130188005995*娱乐 0.102930417639*高清
0.240963504783*春晚 0.214457458176*观众席 0.191084480029*笑脸 0.182650705264*小品 0.170843851748*冯巩
0.478255247487*春晚 0.164447010197*小品 0.123774349463*央视春晚 0.122021042741*卫视 0.111502350112*观看
0.351736355935*红包 0.331806253798*飞 0.117964312519*头条 0.108268782521*博客 0.0902242952282*中国
0.50384408528*春晚 0.211004426731*李敏镐 0.114013500841*魔术 0.0874341506468*韩国 0.0837038365005*观看
0.23948230872*春晚 0.235130270752*冯小刚 0.192335569511*教授 0.181334818569*问责 0.151717032448*马
0.22689037931*公司 0.221488272464*春晚 0.210384076852*时代 0.18457401081*小米 0.156663260566*广告
0.319178665361*春晚 0.244996883463*彩旗 0.221327286913*小时 0.118595467613*时间 0.0959016966499*旋转
0.312931548692*春晚 0.198325587798*假唱 0.187067140357*大张伟 0.154446418154*承认 0.147229304999*央视春晚
0.484990103939*春晚 0.201019327176*春节 0.115799571229*央视 0.109854204599*节目 0.0883367930577*联欢晚会
0.473086871057*春晚 0.164717503771*感觉 0.130090303786*节目 0.116988573475*感动 0.11511674791*过年
0.542769843514*春晚 0.139101184708*节目 0.118822587364*冯小刚 0.112168813127*小品 0.0871375712879*央视
0.311408683275*春晚 0.214285634104*喜欢 0.187282438241*我是歌手 0.152440003188*李敏镐 0.134583241192*红包
0.364459374558*春晚 0.187190240713*红包 0.158265232077*时间 0.154546613716*过年 0.135538538935*去哪儿
0.477437146983*春晚 0.181794160443*中国 0.135624863073*节目 0.111753398346*李敏镐 0.0933904311548*舞台
