0.527978943268*春晚 0.16822202466*李敏镐 0.110698142506*中国 0.0991934484311*央视春晚 0.0939074411352*小品
0.278265559644*春晚 0.266139764423*李敏镐 0.161564604222*金秀贤 0.149439950329*权志龙 0.144590121382*海涛
0.379361394562*春晚 0.193496893189*广告 0.171417963468*小米 0.14371877265*梦想 0.11200497613*央视春晚
0.345251179069*春晚 0.168401147592*节目 0.166125370793*魔术 0.161574150643*表演 0.158648151903*穿帮
0.340413352399*春晚 0.302806938546*红包 0.174847649454*过年 0.0981697975073*春节 0.0837622620932*拜年
0.41936285794*春晚 0.186046806398*李敏镐 0.152498186638*假唱 0.128480039121*中国 0.113612109902*红包
0.386114141457*春晚 0.209891852145*时间 0.145055000009*感动 0.130508567184*去哪儿 0.128430439204*喜欢
0.350221091329*红包 0.324610075467*飞 0.137667410262*头条 0.134326633257*博客 0.0531747896844*中国
0.452756069255*打车 0.232921151678*司机 0.134085799027*出租车 0.0984758645706*回家 0.0817611154691*上车
0.348302907136*我是歌手 0.236012053692*春晚 0.150907208412*喜欢 0.141450983565*邓紫棋 0.123326847194*歌手
0.5023333694*春晚 0.148114591408*演员 0.135018278504*舞台 0.114438510262*节目 0.100095250427*李敏镐
0.493621746533*春晚 0.186172472005*节目 0.119352438098*飞 0.11240006983*红包 0.0884532735342*语言
0.305115467047*红包 0.212366897626*微信 0.181957134667*朋友 0.160670243091*银行卡 0.13989025757*提示
0.2782328682*微信 0.205971207359*打车 0.190394024866*支付 0.170922202273*手机 0.154479697302*软件
0.376243465954*打车 0.198108217988*红包 0.173411066049*回家 0.132424213502*过年 0.119813036506*手机
0.325712805043*春晚 0.270627778345*冯小刚 0.165714701181*华谊 0.128229478719*教授 0.109715236711*兄弟
0.514630303708*春晚 0.176579188436*冯小刚 0.106589854509*中国 0.103387391496*央视 0.0988132618505*央视春晚
0.40469155351*打车 0.248320421668*司机 0.128861294968*奇葩 0.118123544346*双手 0.100003185508*货唱
0.490607933314*春晚 0.161424619143*彩旗 0.155328758264*小时 0.0990015090543*中国 0.0936371802242*时间
0.208315704109*春晚 0.202256604637*孙子 0.200376020867*央视 0.19536161025*小品 0.193690060138*潘长江
