0.504817278351*春晚 0.15407873351*冯小刚 0.127160549054*节目 0.110888972239*导演 0.103054466846*中国
0.256915429694*红包 0.204988660192*微信 0.194331093882*抢红包 0.175510576456*发红包 0.168254239777*春节
0.297057823604*红包 0.273335047653*春晚 0.16812881408*大奖 0.156782845507*过年 0.104695469157*竞猜
0.278909506251*春晚 0.199870615412*魔术 0.194363833467*穿帮 0.183997925158*表演 0.142858119713*魔术师
0.323408087392*微信 0.216942972349*打车 0.160275760469*支付宝 0.151689966722*支付 0.147683213068*红包
0.494512196962*春晚 0.149961874392*北京 0.133125830024*卫视 0.114723812406*节目 0.107676286217*观众
0.227361254257*公司 0.225793335898*小米 0.212857463929*春晚 0.188945678551*梦想 0.145042267365*广告
0.225751250413*道具 0.196553338684*黑洞 0.194701548107*春晚 0.194274324443*穿帮 0.188719538352*表演
0.273364164239*春晚 0.251556303186*李敏镐 0.160696988743*反应 0.160435957149*金秀贤 0.153946586684*权志龙
0.34206886082*我是歌手 0.215221501814*喜欢 0.172093705639*春晚 0.164482784795*红包 0.106133146931*邓紫棋
0.395090692749*红包 0.200691625873*春晚 0.184963749899*飞 0.136207177868*春节 0.0830467536116*过年
0.421646206226*春晚 0.174929454491*手机 0.149858830956*央视春晚 0.133335205964*广告 0.120230302364*移动
0.491584244826*春晚 0.18480547134*李敏镐 0.11540578586*彩旗 0.110148424194*假唱 0.0980560737805*中国
0.315179010195*飞 0.306460013894*红包 0.1552319586*头条 0.14622694417*博客 0.0769020731407*中国
0.359886293425*春晚 0.215201042464*小品 0.193223676137*央视 0.116760217584*春节晚会 0.11492877039*潘长江
0.473039013648*春晚 0.174493340713*时间 0.127537535769*过年 0.122030169927*红包 0.102899939943*春节
0.486449184073*打车 0.234645981447*司机 0.100615212035*回家 0.0919446867117*出租车 0.0863449357331*师傅
0.36039421221*红包 0.228914707442*微信 0.141960562983*账号 0.136722463984*飞 0.13200805338*银行卡
0.586185646437*春晚 0.154844614101*节目 0.116706689343*喜欢 0.0713222476886*红色 0.0709408024307*红包
0.330428739612*春晚 0.20063327759*红包 0.187178640976*打车 0.151168448454*回家 0.130590893369*晚上
