0.451738120678*打车 0.281831459515*司机 0.123683674629*上车 0.071778901455*下车 0.070967843723*朋友
0.398168314067*春晚 0.195426710089*马 0.164329727985*主持人 0.122562099302*张国立 0.119513148558*造型
0.28687358601*春晚 0.24162730323*打车 0.166517417017*我是歌手 0.163802417566*时间 0.141179276176*红包
0.367669315488*红包 0.259323773744*春晚 0.200266524787*飞 0.0954728371902*喜欢 0.0772675487905*时间
0.238405787797*春晚 0.220043212377*时代 0.210083821739*小米 0.170557687122*梦想 0.160909490965*广告
0.345098640735*春晚 0.18121308458*回家 0.172552472164*希望 0.157896091562*节目 0.143239710959*孩子
0.413957532266*春晚 0.160767854232*春节 0.150935132647*飞 0.141594256141*中国 0.132745224714*红包
0.300063765315*春晚 0.271223248626*李敏镐 0.160078401328*根本 0.138367792298*反应 0.130266792432*权志龙
0.54864867483*春晚 0.150974791707*华晨 0.10100232567*喜欢 0.0999501482512*快乐 0.0994240595419*投票
0.286132536131*春晚 0.256301354488*红包 0.163446156358*过年 0.147900389812*春节 0.146219563211*小时
0.495986865095*春晚 0.158301485257*节目 0.1428576183*小品 0.103060558492*观众 0.0997934728547*央视
0.484129856362*打车 0.184501880821*司机 0.144896136838*出租车 0.104552036044*软件 0.0819200899353*回家
0.442759666414*春晚 0.231445755628*时间 0.120128274866*春节 0.105034323438*去哪儿 0.100631979655*央视
0.332041758119*红包 0.31764228646*飞 0.133470843689*头条 0.132502729805*博客 0.0843423819269*中国
0.422634630409*我是歌手 0.165596250526*邓紫棋 0.165596250526*喜欢 0.135938281125*歌手 0.110234587414*张杰
0.461625543779*红包 0.221993046341*飞 0.127610393537*春节 0.115261434066*微信 0.0735095822766*手机
0.257059179077*微信 0.229905319062*红包 0.202027338381*春晚 0.164374393657*抢红包 0.146633769823*大奖
0.228796126949*春晚 0.199325158044*穿帮 0.199100159472*魔术 0.186501777053*道具 0.186276778482*表演
0.545560594252*春晚 0.138640933502*中国 0.123237190693*歌手 0.0982061086278*冯小刚 0.0943551729254*节目
0.538827716162*春晚 0.129054086221*马 0.113764046658*春节 0.110706201505*节目 0.107647949453*中国
