0.416747249893*我是歌手 0.159043293031*邓紫棋 0.1455317617*歌手 0.141309257871*喜欢 0.137368437505*品冠
0.232452836659*我是歌手 0.224030614682*红包 0.197080484181*喜欢 0.191465465399*经历 0.154970599078*名字
0.47242199019*红包 0.167046928903*飞 0.149043326294*春节 0.132635114046*微信 0.0788526405657*上班
0.520855755942*打车 0.174670173173*司机 0.123800097958*出租车 0.0991906023142*上班 0.0814833706134*回家
0.54133325574*春晚 0.159384625617*节目 0.134550170637*小品 0.0908537675262*冯小刚 0.0738781804804*观众
0.43366705571*我是歌手 0.20362901888*邓紫棋 0.155444118152*喜欢 0.128831239305*歌手 0.0784285679528*感觉
0.456373309487*打车 0.244216149236*司机 0.124918729517*师傅 0.0902201447884*出租车 0.0842716669715*钱包
0.206831125202*主持人 0.206231861849*春晚 0.201038544261*造型 0.193448471401*福禄寿 0.192449997287*张国立
0.283859188031*春晚 0.267368683742*李敏镐 0.177615900734*中国 0.143282874869*继承者 0.127873352624*登上
0.236099230111*春晚 0.223207387069*李敏镐 0.187215430889*事件 0.180499599879*反应 0.172978352052*海涛
0.329195222946*春晚 0.183213853407*大奖 0.163618980617*金币 0.161985971515*猜猜 0.161985971515*竞猜
0.313219198315*微信 0.217788453761*红包 0.168510131166*支付 0.160577641512*春节 0.139904575247*移动
0.323640517239*春晚 0.291664144787*时间 0.147288088157*红包 0.123063935907*去哪儿 0.114343313909*打车
0.302824416808*红包 0.299139702356*飞 0.1765971078*头条 0.173525981484*博客 0.0479127915517*中国
0.425386456623*春晚 0.169766926922*时代 0.1552774728*小米 0.131056217308*广告 0.118512926347*梦想
0.555834160435*春晚 0.127310012002*彩旗 0.121058527094*小时 0.119353248915*节目 0.0764440515535*春节
0.467363691872*春晚 0.178346533045*华晨 0.152181361783*生日快乐 0.101354875008*魔术 0.100753538293*舞台
0.24520699638*春晚 0.233838127192*红包 0.204859461616*飞 0.189701410763*中国 0.126394004049*卫视
0.398642772707*春晚 0.162777407811*节目 0.150492772592*喜欢 0.14619342678*舞台 0.14189362011*我是歌手
0.347002767904*春晚 0.328144345276*红包 0.118813668674*春节 0.112213173245*喜欢 0.0938260449003*朋友
