0.323878170132*打车 0.218365447877*微信 0.16461769251*支付 0.152519274985*红包 0.140619414497*司机
0.331946159959*红包 0.325357385651*飞 0.136962724653*头条 0.131761722154*博客 0.0739720075834*中国
0.390031824631*我是歌手 0.262640414118*喜欢 0.149976109218*邓紫棋 0.107512170508*首歌 0.0898394815254*节目
0.42059276377*我是歌手 0.209934873383*品冠 0.15433934149*喜欢 0.109621084002*歌手 0.105511937355*声音
0.428984877399*东莞 0.192680390946*消息 0.154871815215*东莞市 0.117063535531*广州 0.106399380909*佛山
0.302709607863*打车 0.189397126048*春晚 0.185350423934*回家 0.161473702598*时间 0.161069139556*红包
0.310441985806*我是歌手 0.255453326071*邓紫棋 0.165096371928*歌手 0.158255143765*王乔 0.110753172429*观众
0.286340588044*我是歌手 0.276765000858*邓紫棋 0.177550288908*王乔 0.14164169102*道歉 0.117702431171*歌手
0.51012317147*打车 0.135395358037*出租车 0.129798508201*司机 0.115673001348*小时 0.109009960944*回家
0.550019179982*春晚 0.140890246241*彩旗 0.110924475132*小时 0.105366337656*观众 0.0927997609879*表演
0.387942868124*红包 0.289846120057*飞 0.13127067633*博客 0.123989347829*头条 0.0669509876594*春晚
0.294115645823*春晚 0.198636077642*大奖 0.170503502963*竞猜 0.168372386786*金币 0.168372386786*猜猜
0.450128357674*春晚 0.153281450464*黄渤 0.138321030618*中国 0.132021565547*感觉 0.126247595697*演出
0.305042465563*春晚 0.277225875829*我是歌手 0.198962684438*节目 0.116456594415*歌手 0.102312379754*歌曲
0.468269586948*春晚 0.166966880224*主持人 0.142439650366*张国立 0.12173780392*造型 0.100586078542*福禄寿
0.478280932957*我是歌手 0.165043550839*邓紫棋 0.150040057393*喜欢 0.123454401368*精彩 0.0831810574442*视网
0.408558810012*春晚 0.216208046959*中国 0.182569201368*节目 0.102142149211*观看 0.0905217924507*收视率
0.268517569153*春晚 0.243129484539*时代 0.189068138453*小米 0.153226561612*广告 0.146058246244*梦想
0.369400283119*红包 0.22096259279*微信 0.15070958472*东莞 0.130880399248*春晚 0.128047140124*北京
0.441621759063*我是歌手 0.152261955659*罗琦 0.138615350265*品冠 0.137983556457*歌手 0.129517378556*舞台
