0.337053622244*我是歌手 0.246252613359*邓紫棋 0.207463954923*泡沫 0.106671953697*唱 0.102557855776*鄧紫棋
0.442033720879*我是歌手 0.159712696245*歌手 0.146832740398*声音 0.13652939759*唱 0.114891444888*歌曲
0.281671644292*我是歌手 0.218223282195*中国 0.211150296366*歌曲 0.145829596295*最强 0.143125180851*大脑
0.230996468233*视网 0.212288538374*乐 0.207757907834*推荐 0.20697156812*我是歌手 0.141985517439*解脱
0.391068916527*我是歌手 0.195537540527*喜欢 0.171463010582*曹格 0.123901224563*唱 0.118029307802*感觉
0.452782509506*我是歌手 0.182275564956*歌手 0.133514990027*节目 0.121905456936*观众 0.109521478574*唱
0.330891988053*我是歌手 0.195355846527*爱 0.191569967291*周笔畅 0.153710887883*朋友 0.128471310246*乐
0.301901232643*我是歌手 0.218219310821*春晚 0.169493296334*唱 0.156781816224*歌手 0.153604343977*需要
0.394679328402*春晚 0.263522373733*直通 0.178603823661*白举纲 0.0897566929786*聆听 0.0734377812251*华晨
0.24462779459*我是歌手 0.243934622195*春晚 0.184338504915*节目 0.175330128127*央视 0.151768950173*中国
0.247953865879*直通 0.244189512846*春晚 0.21571170944*白举纲 0.146645384828*小白 0.145499527007*小白
0.375284744943*我是歌手 0.167269559144*罗琦 0.160040235723*唱 0.150181496146*摇滚 0.147223964045*喜欢
0.375658144381*我是歌手 0.193121696502*邓紫棋 0.174603580203*唱 0.128875135803*喜欢 0.127741443112*歌
0.522197951044*我是歌手 0.134519999667*主持 0.119926390789*歌手 0.119291886056*韩磊 0.104063772444*感觉
0.400565894153*我是歌手 0.171672937165*喜欢 0.15744590262*邓紫棋 0.144484101481*歌曲 0.125831164582*唱
0.316593170709*直通 0.28805284434*春晚 0.188689355854*白举纲 0.110467507039*今晚 0.0961971220577*唱
0.427612123121*春晚 0.156058546866*直通 0.142198579492*中国 0.141171987253*快乐 0.132958763267*节目
0.418415866425*我是歌手 0.212104583733*歌手 0.131580693853*羽泉 0.125791439544*羽泉 0.112107416445*芒果
0.211678544941*春晚 0.198296861423*大道 0.197891431961*黄金 0.196674864545*广告 0.195458297129*星光
0.488557635074*我是歌手 0.167397276432*歌手 0.126035760147*唱 0.110950919379*喜欢 0.107058408967*周笔畅
