0.245717952065*东莞 0.206300031283*记者 0.193734409348*酒店 0.180480300317*色情 0.173767306987*央视
0.441949039082*春晚 0.238059782403*春节 0.124175141809*红包 0.112051759287*微信 0.0837642774185*央视
0.478387401949*春晚 0.149079695174*央视 0.147739469453*中国 0.128644346305*卫视 0.0961490871193*节目
0.285914191526*东莞 0.255297925396*加油 0.162035627733*放弃 0.15402827066*央视 0.142723984686*挺住
0.320428526394*我是歌手 0.253762690492*邓紫棋 0.190322691462*喜欢 0.123388091954*王乔 0.112097999698*歌手
0.401123416727*春晚 0.174671912369*观众 0.145426337421*舞台 0.140060041538*彩旗 0.138718291946*小时
0.321818029947*东莞 0.189132266696*广州 0.174810681071*佛山 0.169334964523*深圳 0.144904057764*微信
0.525742331879*春晚 0.12605846754*娱乐 0.125674208708*节目 0.11414493882*我是歌手 0.108380053054*主持人
0.488121973653*打车 0.151931845883*回家 0.148212392608*司机 0.108442090783*出租车 0.103291697074*回来
0.422240959715*红包 0.305633369432*飞 0.112335908185*头条 0.110649134235*博客 0.0491406284342*微信
0.288047218533*红包 0.259863066254*春晚 0.173619595691*打车 0.169673897005*时间 0.108796222517*飞
0.446975425228*我是歌手 0.150482571871*品冠 0.142253180764*喜欢 0.130967386409*邓紫棋 0.129321435727*歌手
0.433726188977*东莞 0.203313117145*中国 0.149098426624*红包 0.108437026462*节目 0.105425240792*记者
0.441042239259*打车 0.229064443802*司机 0.121667872125*手机 0.10852488066*出租车 0.0997005641545*微信
0.4171867262*我是歌手 0.182811300764*邓紫棋 0.15989290358*歌手 0.123366868377*喜欢 0.11674220108*春晚
0.238413808251*中国 0.196104989567*希望 0.194761503825*飞 0.186703029859*春晚 0.184016668497*我是歌手
0.264769417702*飞 0.242888035596*红包 0.184026470845*春晚 0.154486347393*博客 0.153829728465*头条
0.354818261951*东莞 0.245684217871*春晚 0.172081894879*东莞市 0.124367328975*观看 0.103048296323*红包
0.381928560513*东莞 0.271768186464*央视 0.159062603607*色情 0.100346367734*服务 0.086894281683*酒店
0.428947823045*我是歌手 0.181714730684*邓紫棋 0.150096305662*歌手 0.131048756192*演唱 0.108192384418*节目
