0.438218335023*东莞 0.214645997978*央视 0.147884808607*色情 0.103118783359*中国 0.0961320750322*社会
0.456827512135*春晚 0.153240814123*央视 0.135693396769*凤凰 0.129212928322*娱乐 0.125025348652*节目
0.461956164879*春晚 0.14955752322*我是歌手 0.142522991076*打车 0.136269591816*时间 0.109693729008*小品
0.207450697687*嫁给 0.201816741311*打工 0.1992401847*东莞 0.196619626174*愿意 0.194872750127*答应
0.235331619874*娱乐场所 0.218343057304*东莞 0.185533537224*酒店 0.181621787037*东莞市 0.179169998561*停职
0.2997145364*东莞 0.247164518481*挺住 0.176085564934*加油 0.138932539143*地震 0.138102841042*扫黄
0.417375470804*我是歌手 0.198360594055*邓紫棋 0.185901650017*歌手 0.105410614581*喜欢 0.0929516705427*合影
0.549919199426*东莞 0.135945345109*央视 0.126472882118*社会 0.101127643302*中国 0.0865349300449*色情
0.354769634995*打车 0.193183425515*微信 0.177882966891*司机 0.144421144951*支付 0.129742827649*红包
0.444273073913*东莞 0.226365612354*央视 0.154597252274*色情 0.0908512552251*卖淫嫖娼 0.0839128062345*警力
0.387514206999*东莞 0.22546730799*央视 0.171061910694*色情 0.119827242887*报道 0.09612933143*存在
0.245533831142*春晚 0.211155993955*张国立 0.198854090717*点评 0.176272526392*春节 0.168183557794*血脉
0.407626915273*红包 0.216899129537*中国 0.14260433559*东莞 0.119761404376*头条 0.113108215223*博客
0.428004025611*东莞 0.180144945139*百度 0.142670322107*红包 0.127220303887*手机 0.121960403255*地图
0.223022300141*春晚 0.206806951497*观看 0.201216958402*高清 0.194436028959*卫视 0.174517761002*综艺
0.274237980714*东莞 0.201058749911*记者 0.192979311104*央视 0.175520243749*酒店 0.156203714521*色情
0.440633463527*东莞 0.224770272126*问题 0.121156033599*愿意 0.113061051408*央视 0.10037917934*扫黄
0.259310522453*东莞 0.189019055714*央视 0.188319924984*扫黄 0.185522021064*影响 0.177828475785*显示
0.404232714587*春晚 0.2048536295*红包 0.132525145376*博客 0.131097679509*头条 0.127290831028*制作
0.410547196277*东莞 0.260703298306*央视 0.119267114076*报道 0.106270129795*挺住 0.103212261547*色情
