0.431035141726*我是歌手 0.197717205624*歌手 0.163201925418*邓紫棋 0.111428641109*喜欢 0.0966170861229*节目
0.313431261984*东莞 0.253031171541*央视 0.159515510402*扫黄 0.153452130135*色情 0.120569925938*报道
0.385929299813*红包 0.187105568141*春晚 0.174031447038*东莞 0.131651497592*互联网 0.121282187416*央视
0.300381980054*春晚 0.197827023974*央视 0.179560616774*冯小刚 0.168935137706*晚会 0.153295241493*导演
0.588960413231*春晚 0.119994848407*央视 0.100123040268*明星 0.0987472890894*节目 0.0921744090042*时间
0.203312617093*营销 0.201031154642*政绩 0.199479945439*创意 0.198110913581*影响 0.198065369245*东莞
0.22597012433*春晚 0.221246866247*参与 0.185834437336*猜猜 0.183474286044*金币 0.183474286044*竞猜
0.201453056745*愿意 0.200755578748*告诉 0.200639377246*嫁给 0.19912821975*打工 0.198023767511*东莞
0.357595464784*东莞 0.221910148962*红包 0.166707508939*中国 0.131778748932*头条 0.122008128383*色情
0.329129913482*东莞 0.19596600043*朋友 0.17075457269*联系 0.159523526851*打车 0.144625986547*转发
0.356553403797*春晚 0.18916321769*小品 0.154330398554*热议 0.151911560457*引发 0.148041419501*人心
0.319235297867*东莞 0.193776563805*扫黄 0.192927863859*央视 0.157001732623*人生 0.137058541846*三峡
0.292186385379*东莞 0.208974696323*色情 0.183706370225*艳舞 0.158873262171*木马病毒 0.156259285902*酒店
0.230802430938*东莞 0.202632226058*有时候 0.200565744223*不错 0.185447023426*女警察 0.180552575355*学生妹
0.408191708201*东莞 0.208059612033*扫黄 0.170460794497*央视 0.141460739215*挺住 0.0718271460536*政府
0.568531231027*东莞 0.126943266297*中国 0.11053014478*色情 0.102323106341*扫黄 0.0916722515545*事件
0.407117904853*东莞 0.161732332337*行动 0.150168450894*央视 0.141310639525*娱乐场所 0.139670672391*警方
0.383350071904*打车 0.208257592263*司机 0.151295143463*支付 0.133422832773*微信 0.123674359597*出租车
0.229940885721*东莞 0.212716903136*挺住 0.211425148542*加油 0.19549317255*地震 0.150423890051*发生
0.516821766686*东莞 0.137492219354*朋友 0.122876510929*挺住 0.11692823194*转发 0.105881271091*大灾
