0.261272233468*东莞 0.260940538763*中国 0.249999149501*红包 0.129311605913*春晚 0.0984764723559*城市
0.256548552168*东莞 0.189375205922*央视 0.187618985085*扫黄 0.185423855603*旅行 0.181033401222*香格里拉
0.255468299947*东莞 0.207152212428*朋友 0.199733704336*联系 0.187749855983*转发 0.149895927307*大灾
0.377734060895*我是歌手 0.176632887035*歌手 0.173876002065*邓紫棋 0.141134426782*音乐 0.130622623224*喜欢
0.442395778723*春晚 0.187116783832*小品 0.139401055319*央视 0.121677920904*了解 0.109408461221*东莞
0.309672146626*打车 0.207989454801*微信 0.189171417073*支付 0.157808355671*嘀嘀 0.13535862583*软件
0.519877449308*东莞 0.138774962056*春晚 0.128419226112*红包 0.107292608162*记者 0.105635754361*央视
0.484639975588*东莞 0.140436255208*红包 0.134997892476*中国 0.121562257074*东莞市 0.118363619653*酒店
0.560355836204*春晚 0.134392209497*观看 0.1029555972*红包 0.102641339683*大奖 0.0996550174173*猜猜
0.391752732895*东莞 0.235710123292*扫黄 0.19802739338*央视 0.088772231438*生意 0.0857375189942*回来
0.270906074468*东莞 0.223770737703*短信 0.179422518831*诈骗 0.174100774561*收到 0.151799894436*警官
0.228003033566*东莞 0.196520233758*打工 0.194863448222*天气 0.190720967765*火车站 0.189892316689*愿意
0.257100549928*东莞 0.199474528682*有时候 0.183877879999*不错 0.180265993815*女警察 0.179281047576*学生妹
0.239847809382*记者 0.229019848788*央视 0.182458294766*独家 0.177044113943*电视台 0.171629933121*春晚
0.441441565266*东莞 0.236562902753*扫黄 0.123724801313*色情 0.112061713502*央视 0.0862090171662*事件
0.409096111282*东莞 0.154408487014*广州 0.14959390282*广东 0.146605446571*娱乐场所 0.140296052313*扫黄
0.437268929131*打车 0.237341052481*司机 0.127197650468*出租车 0.100749173181*师傅 0.0974431947395*回家
0.203585308407*营销 0.203269254287*影响 0.198215167739*免费 0.197978524202*广告 0.196951745365*显示
0.40485648727*红包 0.217950433209*头条 0.211677378273*博客 0.0984404879624*中国 0.0670752132849*原文
0.243355720716*春晚 0.217227538116*央视 0.200177408536*冯小刚 0.184898477279*晚会 0.154340855353*导演
