0.404083736321*打车 0.219850770528*司机 0.147047570888*软件 0.137750944319*出租车 0.0912669779434*乘客
0.301614077818*红包 0.236085614144*中国 0.168462602793*春晚 0.157391591009*东莞 0.136446114236*卫视
0.256108965494*春晚 0.202975741389*央视 0.190754645208*我是歌手 0.17694001845*元宵 0.173220629459*娱乐
0.274783265105*春晚 0.210714186127*晚会 0.199025971008*元宵 0.182900483197*央视 0.132576094563*节目
0.237250023636*朋友 0.233132264848*东莞 0.194171767906*转发 0.183085461488*联系 0.152360482121*照片
0.232899778094*东莞 0.19869977934*扫黄 0.191209758271*央视 0.191068526691*广告 0.186122157603*营销
0.420606472568*春晚 0.178420664687*央视 0.170185917461*冯小刚 0.129012466694*导演 0.10177447859*晚会
0.379087721888*东莞 0.169091486677*告诉 0.162727955662*火车站 0.152121974548*天气 0.136970861226*办理
0.266452607698*打车 0.258491116221*春晚 0.21709091873*回家 0.151274965262*东莞 0.106690392088*师傅
0.28759767933*东莞 0.187402510102*扫黄 0.181889132765*人生 0.175590784722*央视 0.167519893081*三峡
0.348178370578*我是歌手 0.204508406967*春晚 0.171646042788*邓紫棋 0.156437430781*喜欢 0.119229748886*歌手
0.24825784581*春晚 0.190819179423*猜猜 0.188416509401*金币 0.187935975397*竞猜 0.18457048997*大奖
0.348550014969*红包 0.202236770105*博客 0.201136879332*头条 0.164100102268*东莞 0.0839762333258*中国
0.453023529727*东莞 0.19530262066*扫黄 0.133904042973*行动 0.117054367321*酒店 0.10071543932*暗访
0.308186628956*东莞 0.187219354484*不错 0.182920162503*有时候 0.168458517182*女警察 0.153215336875*学生妹
0.336319783205*打车 0.212442077852*微信 0.158924932353*支付 0.153219948707*软件 0.139093257882*移动
0.409214024044*东莞 0.243207660195*扫黄 0.16708592871*色情 0.0919218457085*央视 0.0885705413428*产业链
0.220036260081*东莞 0.216058825325*嫖娼 0.208567124456*李阳 0.187734297389*举证 0.167603492749*财产
0.226204695183*城市 0.217156578665*东莞 0.202714524067*中国 0.177136166119*佛山 0.176788035967*浪漫
0.428666193397*东莞 0.163781881298*色情 0.144391668011*世界 0.134696395113*继续 0.128463862182*垃圾
