0.338075387358*红包 0.227484755645*头条 0.213952323009*博客 0.110593770761*中国 0.109893763227*东莞
0.234298074541*东莞 0.218426445138*李阳 0.217736285516*嫖娼 0.170808153775*财产 0.158731041029*前妻
0.208198988893*春晚 0.198490345937*大奖 0.197770221723*金币 0.197770221723*猜猜 0.197770221723*竞猜
0.292080547628*东莞 0.229942100304*情人节 0.205558385459*红包 0.146303753868*朋友 0.126115212741*照片
0.482526610049*东莞 0.166813025268*情人节 0.13406257601*深圳 0.110918884599*广州 0.105678904073*中国
0.48460708961*打车 0.212240537599*司机 0.120795396801*出租车 0.0984260776379*软件 0.0839308983516*手机
0.316554038993*东莞 0.184552346792*护士 0.179487584331*有时候 0.162710224909*女警察 0.156695804975*学生妹
0.236899507209*摔倒 0.214759885118*东莞 0.203321046107*小品 0.182288302327*无人 0.162731259239*人心
0.263955989824*浪漫 0.222084902601*中国 0.210591000923*城市 0.167077794129*东莞 0.136290312523*宁波
0.241740446843*东莞 0.198332076713*城市 0.188388824618*佛山 0.188281876073*中国 0.183256775753*排行榜
0.385793187262*红包 0.276229612091*微信 0.12062937123*手机 0.118488003152*用户 0.0988598262655*支付
0.33136739426*春晚 0.214775433278*晚会 0.192756568083*元宵 0.167970355811*央视 0.0931302485686*节目
0.348065866725*我是歌手 0.195169102595*春晚 0.17874435155*邓紫棋 0.143962084438*歌手 0.134058594691*节目
0.226208148715*东莞 0.212698657542*一夫多妻 0.196937898984*女工 0.192885145975*男友 0.171270148784*男女比例
0.306635141372*春晚 0.224256148016*元宵 0.18289044627*情人节 0.15595898046*时间 0.130259283883*晚会
0.394723524246*东莞 0.188765909402*中国 0.181123765453*央视 0.13374197402*扫黄 0.101644826878*报道
0.265732026475*东莞 0.233954640368*扫黄 0.180783329535*色情 0.162892627256*中国 0.156637376366*产业
0.308617317261*东莞 0.192859167282*扫黄 0.178986196897*央视 0.171481202124*广告 0.148056116437*妹子
0.410025073383*东莞 0.183660684375*东莞市 0.164165354459*扫黄 0.122389542082*公安局 0.119759345701*行动
0.547736537304*东莞 0.155237407989*扫黄 0.121059052074*色情 0.09239359969*小姐 0.0835734029432*服务
