0.256297261828*东莞 0.202847753165*城市 0.19539988796*中国 0.172837129797*佛山 0.172617967249*浪漫
0.458627228671*打车 0.227056431249*司机 0.120067491413*出租车 0.101522737382*回家 0.0927261112839*发现
0.384167976127*东莞 0.159110321443*央视 0.156225214587*出现 0.155812717518*扫黄 0.144683770325*人生
0.470021186979*东莞 0.163903473953*色情 0.133610887362*酒店 0.128189940506*扫黄 0.1042745112*央视
0.337681390008*东莞 0.196984882443*问题 0.170855826342*学校 0.154776118094*余额宝 0.139701783112*关注
0.324437939382*东莞 0.202170870832*扫黄 0.183325830629*东莞市 0.149555403599*免职 0.140509955559*公安局
0.350926474979*东莞 0.171391738052*有时候 0.166504259029*护士 0.159335926993*学生妹 0.151841600947*女警察
0.366015952803*余额宝 0.173878768871*互联网 0.159190732908*理财 0.152838997059*收益 0.14807554836*微信
0.557889503001*东莞 0.150155289574*酒店 0.10433585784*产业 0.0962863413232*东莞市 0.0913330082621*中国
0.371722487518*东莞 0.26190412849*扫黄 0.1435261155*色情 0.130685122999*社会 0.0921621454942*调侃
0.418896031428*红包 0.175247310275*中国 0.151270347171*博客 0.143865434693*我是歌手 0.110720876433*春晚
0.466615534843*春晚 0.169701677562*晚会 0.139601662799*节目 0.136133078918*央视 0.0879480458772*时间
0.470789563729*东莞 0.191895779368*记者 0.12693908548*嫖客 0.107273619175*地方 0.103101952248*广东
0.22557591922*停止 0.219246878188*XP 0.195553403593*服务 0.183544349355*微软 0.176079449644*系统
0.423620655802*东莞 0.21725781418*扫黄 0.159732935651*广东 0.103045262872*江苏 0.0963433314945*中国
0.250505724087*打车 0.246116701938*东莞 0.188386292004*广州 0.176570176695*深圳 0.138421105277*微信
0.367298230513*我是歌手 0.24246284178*邓紫棋 0.146462094033*喜欢 0.145806728349*歌手 0.0979701053259*节目
0.244039378244*东莞 0.195106735751*扫黄 0.188519697417*广告 0.187264829679*妹子 0.185069358909*回来
0.366579263895*东莞 0.175811186957*工人 0.154198855609*工作 0.152536516383*女工 0.150874177156*男女比例
0.325553094883*红包 0.23740689023*春晚 0.190741085351*情人节 0.145186134309*东莞 0.101112795227*回家
