0.386489984233*东莞 0.208525570857*广东 0.173857597114*北京 0.124037934527*新疆 0.107088913269*常规赛
0.445910738026*红包 0.170615632381*头条 0.169146634658*博客 0.136456162246*中国 0.0778708326884*东莞
0.260631886673*东莞 0.219802273129*广州 0.201429103199*深圳 0.177271603147*佛山 0.140865133851*惠州
0.222941984409*XP 0.212461809314*电脑 0.193025946832*微软 0.187976384569*停止 0.183593874876*系统
0.351284108937*我是歌手 0.201500568317*东莞 0.180868415452*邓紫棋 0.137728493826*喜欢 0.128618413468*有时候
0.480579715616*东莞 0.205224961398*扫黄 0.108732612561*记者 0.107791416788*央视 0.0976712936378*社会
0.35483770832*打车 0.179052735826*软件 0.164148864477*上海 0.16292387046*城市 0.139036820917*酒店
0.417216841439*东莞 0.174668879968*扫黄 0.167839594941*东莞市 0.124793640703*广东 0.115481042949*娱乐场所
0.412709444985*东莞 0.217402684239*酒店 0.138571309171*色情 0.127114611697*产业 0.104201949908*投资
0.21451824547*系统 0.214052745863*XP 0.201256375926*微软 0.201023765244*停止 0.169148867498*服务
0.449514536601*打车 0.232187097258*司机 0.133369775906*出租车 0.0982822933341*回家 0.0866462969001*师傅
0.346296841021*东莞 0.254043788558*打车 0.150431270144*朋友 0.125990979096*电话 0.123237121181*希望
0.34885001574*东莞 0.188259450109*城市 0.160594466883*中国 0.156208558568*浪漫 0.146087508699*佛山
0.3481499532*东莞 0.215716838084*扫黄 0.152161075518*央视 0.142142694835*回来 0.141829438363*妹子
0.486332438169*东莞 0.187097787987*东莞市 0.114550516605*工作 0.107516776676*广东 0.104502480562*发展
0.203848571357*爸爸 0.203848571357*承认 0.198956381852*青春 0.196673237717*林志颖 0.196673237717*发现
0.251444247817*东莞 0.225794469944*扫黄 0.187500173242*行动 0.174494518214*广东 0.160766590783*央视
0.353758026011*余额宝 0.190034230141*互联网 0.163107987438*银行 0.147633048032*金融 0.145466708379*微信
0.219555562083*道歉 0.218096148722*东莞 0.192151896477*扫黄 0.185990103787*书记 0.184206288931*全市
0.460141051846*东莞 0.190741735845*扫黄 0.13783641267*报道 0.108947066219*工作 0.102333733421*色情
