0.262017484869*打车 0.226561796439*东莞 0.210937107102*余额宝 0.155049267565*互联网 0.145434344025*现金
0.22389795647*服务 0.200236541841*停止 0.198166284266*爸爸 0.191659317773*承认 0.18603989965*苹果
0.241881369047*保护 0.202110531255*中国 0.198051901728*提醒 0.181007413749*支持 0.176948784222*安全
0.253238294948*微软 0.223901476787*XP 0.197358315745*使用 0.177927406587*电脑 0.147574505934*用户
0.407746705329*我是歌手 0.21013388232*邓紫棋 0.163338882272*歌手 0.110284467188*音乐 0.108496062891*凤凰
0.335629322824*红包 0.198260629913*博客 0.195798581037*头条 0.159363695398*东莞 0.110947770828*中国
0.334183935038*打车 0.227442158442*城市 0.176528635339*上海 0.143896752886*司机 0.117948518296*软件
0.391029594138*东莞 0.183868046693*回来 0.147796291956*全国 0.147545813807*服务 0.129760253405*有时候
0.242682644061*XP 0.206097626578*停止 0.194308980792*中国 0.183943089808*服务 0.172967658761*院士
0.27458798046*东莞 0.248810277164*扫黄 0.176014947511*警方 0.154884579501*老人 0.145702215363*举报
0.636123699219*东莞 0.124858824169*东莞市 0.0888611514311*广东 0.0762134075266*扫黄 0.073942917654*工作
0.234894497584*停止 0.233765175947*XP 0.193675908906*服务 0.175043202606*系统 0.162621214956*红包
0.304888971662*东莞 0.2263929543*红包 0.220136138494*打车 0.126281748334*希望 0.122300187209*回家
0.308297547684*余额宝 0.209214111475*互联网 0.179552222933*理财 0.160303483196*产品 0.142632634712*收益
0.323602350141*余额宝 0.243781679683*互联网 0.178299917122*金融 0.140736605959*银行 0.113579447094*产品
0.210641520313*停止 0.209784872086*服务 0.200361741585*XP 0.19246137817*微软 0.186750487846*重大
0.275866118089*打车 0.201075093012*嘀嘀 0.189605661444*支付 0.185424188355*微信 0.148028939101*乘客
0.227424907615*XP 0.208801192175*停止 0.193795636157*电脑 0.191135064361*服务 0.178843199692*微软
0.335040206501*打车 0.235746229724*司机 0.156470648626*出租车 0.148623152575*手机 0.124119762574*软件
0.468550804567*东莞 0.196549123775*扫黄 0.140494332954*广东 0.103124847584*东莞市 0.0912808911199*行动
