0.369908915221*我是歌手 0.274502283963*邓紫棋 0.128298117016*喜欢 0.120157798452*歌手 0.107132885348*观看
0.246644168492*嘀嘀 0.226453948864*打车 0.202821991991*补贴 0.163588696488*宣布 0.160491194165*支付宝
0.426250081302*东莞 0.159714073779*扫黄 0.154477682363*回来 0.137197365112*服务 0.122360797444*有时候
0.386125040605*红包 0.252436432314*博客 0.244801897956*头条 0.0677399987176*中国 0.0488966304079*微信
0.543495470793*东莞 0.130246587029*中国 0.122570313068*东莞市 0.110799777964*红包 0.0928878511462*发表
0.440122867041*打车 0.204306606127*司机 0.170168512223*嘀嘀 0.0950645159455*微信 0.0903374986643*补贴
0.36946156651*余额宝 0.20011772264*互联网 0.16375948466*银行 0.133477679579*理财 0.133183546612*金融
0.397543129445*打车 0.198673806857*司机 0.173332427554*软件 0.122550530323*出租车 0.107900105822*嘀嘀
0.211402390757*XP 0.209125263977*系统 0.202764147553*微软 0.191770071129*用户 0.184938126584*电脑
0.506895328812*东莞 0.153462536597*扫黄 0.122586458914*观看 0.111287113378*小姐 0.105768562299*高清
0.454831462311*东莞 0.161291497194*上海 0.140324148754*北京 0.134948129645*广东 0.108604762095*天津
0.240820391429*XP 0.205932217035*停止 0.199202963258*微软 0.184698932278*系统 0.169345496001*支持
0.318670767467*欧冠 0.315403972308*欧冠 0.150787836432*曼城 0.119285887471*巴萨 0.0958515363222*比赛
0.22059145523*系统 0.202790395512*XP 0.197017116007*微软 0.191003225901*用户 0.18859780735*使用
0.209892504682*欧冠 0.203611378567*比赛 0.202564780357*欧冠 0.195498705584*北京 0.188432630811*时间
0.251629348924*XP 0.217821587522*微软 0.177735118982*系统 0.177493665691*使用 0.175320278882*停止
0.491992893015*打车 0.136234177146*嘀嘀 0.132131081483*司机 0.12761719758*发现 0.112024650776*软件
0.337140424394*东莞 0.186338911995*漂亮 0.185646722744*扫黄 0.161301773438*女工 0.129572167429*相亲
0.210438365165*服务 0.201620577375*停止 0.199237405199*青春 0.195662646935*发现 0.193041005326*林志颖
0.224700102691*打车 0.219099863825*嘀嘀 0.209275042415*补贴 0.175083696841*微信 0.171841294229*支付
