0.459942232446*我是歌手 0.159398638351*观众 0.138781372025*歌曲 0.124507377277*节目 0.117370379903*春晚
0.562201210784*春晚 0.120004745901*我是歌手 0.107783085299*直通 0.105561096728*舞台 0.104449861288*希望
0.278075690197*直通 0.264834168735*春晚 0.211377836213*白举纲 0.123101275763*出道 0.122611029092*小白
0.483167519218*我是歌手 0.141431778618*歌手 0.134071440155*感觉 0.123556192544*韩磊 0.117773069466*韦唯
0.417483813617*我是歌手 0.1680245385*唱 0.160737958511*曹格 0.128591516112*喜欢 0.125162173261*歌
0.419166452547*我是歌手 0.159553758968*歌手 0.151855962664*周笔畅 0.139960149887*期待 0.129463675934*唱
0.295829607965*我是歌手 0.237498389883*中国 0.167501401749*喜欢 0.160001572232*春晚 0.139169028171*歌曲
0.464321270826*我是歌手 0.143306216069*歌手 0.133294005049*邓紫棋 0.131416514946*韩磊 0.12766199311*节目
0.382389805009*我是歌手 0.194690457768*歌曲 0.193293040395*中国 0.119237966941*节目 0.110388729887*歌手
0.323042400385*我是歌手 0.234653996548*邓紫棋 0.18870590681*泡沫 0.132235440861*喜欢 0.121362255396*唱
0.384777302329*春晚 0.201170311589*中国 0.163863798823*央视 0.135335240618*节目 0.114853346641*直通
0.347709979191*春晚 0.213316111279*我是歌手 0.173860879491*节目 0.140570601294*中国 0.124542428746*梦想
0.205448720517*春晚 0.199196095107*广告 0.198749417688*综艺 0.198749417688*大道 0.197856349*星光
0.43310799503*我是歌手 0.152568681247*歌手 0.151845683323*喜欢 0.133769312934*邓紫棋 0.128708327466*节目
0.336900057773*我是歌手 0.214636144493*罗琦 0.184293018112*韩磊 0.141009718149*唱 0.123161061472*喜欢
0.339923983436*我是歌手 0.216426482896*韩磊 0.164269552622*唱 0.143287057216*周笔畅 0.136092923829*韦唯
0.209313082035*我是歌手 0.203434374494*乐 0.199102808584*视网 0.195853918823*乐 0.192295816064*推荐
0.419535643494*我是歌手 0.231675244963*节目 0.124687327787*歌手 0.114578077851*歌曲 0.109523705905*最强
0.304691596451*春晚 0.278439122537*直通 0.152745546955*华晨 0.138426120609*宇 0.125697613448*白举纲
0.420739598059*我是歌手 0.197552550462*中国 0.142775520272*节目 0.131120842938*声音 0.107811488269*歌手
