0.393654010119*打车 0.163737067379*司机 0.15580924551*红包 0.149604542003*手机 0.13719513499*下车
0.380252683959*东莞 0.191677748808*中国 0.165117953737*市场 0.133689076558*东莞市 0.129262536939*政府
0.264062779418*互联网 0.234786433853*中国 0.207232680798*XP 0.165328037691*红包 0.128590068241*行业
0.602522324615*东莞 0.105324039096*工作 0.104207417535*小姐 0.097508730282*收入 0.0904374884717*打车
0.42204928835*打车 0.18453557192*司机 0.175049573921*软件 0.123859613646*出租车 0.0945059521644*嘀嘀
0.556023301203*东莞 0.12332638651*回家 0.122253950672*地址 0.100270616645*我是歌手 0.0981257449694*原文
0.340698900671*红包 0.277302480719*博客 0.274075534537*头条 0.0550101204697*地址 0.0529129636027*原文
0.267158483881*我是歌手 0.21057472926*邓紫棋 0.21057472926*打车 0.162339229776*张杰 0.149352827824*凤凰
0.295658801838*欧冠 0.271371881993*欧冠 0.151231441363*北京 0.144431054552*主场 0.137306820253*米兰
0.397076828366*我是歌手 0.186659338075*邓紫棋 0.169482286074*歌手 0.129402675433*凤凰 0.117378872053*湖南卫视
0.40448153326*余额宝 0.194988823742*银行 0.163903942654*互联网 0.118501225269*金融 0.118124475075*理财
0.243551989628*XP 0.210350936866*系统 0.199322186666*微软 0.18180257552*停止 0.16497231132*服务
0.424956193992*东莞 0.170641744667*服务 0.148026945961*回来 0.130962968123*有时候 0.125412147256*学生妹
0.451279792644*东莞 0.271794521865*扫黄 0.0987555144759*打工 0.089378191469*小姐 0.0887919795456*行动
0.317031867399*打车 0.214813913899*腾讯 0.175214730272*阿里 0.151240742364*微信 0.141698746065*支付
0.321222000872*打车 0.220346119837*嘀嘀 0.189142892141*软件 0.166916118956*补贴 0.102372868195*烧钱
0.507168988317*东莞 0.129384697378*东莞市 0.127790603169*广东 0.126993556065*广州 0.108662155071*扫黄
0.272603829613*欧冠 0.271125673064*欧冠 0.179662583125*曼城 0.163217739132*巴萨 0.113390175067*决赛
0.206558440132*青春 0.206558440132*停止 0.202035447561*服务 0.193743107655*林志颖 0.19110456452*还珠格格
0.318005046016*欧冠 0.307201332298*欧冠 0.136703997206*拜仁 0.129501729305*阿森纳 0.108587895175*比赛
