0.256976357407*XP 0.202345247944*微软 0.194436962485*停止 0.184346910269*系统 0.161894521895*服务
0.495705928779*我是歌手 0.14568388382*观众 0.129863765224*邓紫棋 0.119976148413*地址 0.108770273764*湖南卫视
0.26033820799*打车 0.244230636991*软件 0.175011460793*东莞 0.160209847113*中国 0.160209847113*系统
0.377011340448*打车 0.233234524672*司机 0.14283806935*软件 0.128889795433*出租车 0.118026270098*手机
0.240647053992*东莞 0.205167607837*女子 0.193598370196*男子 0.184728446057*回家 0.175858521918*女友
0.290947048476*余额宝 0.275936360362*互联网 0.158058417843*微信 0.138191407965*推出 0.136866765353*银行
0.318092542685*打车 0.220208435706*软件 0.17812209758*司机 0.167809211306*嘀嘀 0.115767712724*乘客
0.28912169835*打车 0.223648239189*软件 0.171139899939*嘀嘀 0.164657181427*补贴 0.151432981096*支付
0.355930574575*打车 0.218141287672*软件 0.171374882878*司机 0.168550227723*出租车 0.0860030271517*问题
0.472536304697*东莞 0.263021576891*扫黄 0.110108725567*东莞市 0.0780047450212*行动 0.0763286478237*广东
0.332785409936*余额宝 0.213860754311*互联网 0.178183478637*银行 0.160139924173*收益 0.115030432943*马云
0.43702873991*东莞 0.172470389293*广州 0.13797671612*深圳 0.132119468995*佛山 0.120404685682*广东
0.331943203747*欧冠 0.308854878697*欧冠 0.154050706005*米兰 0.107117627995*比赛 0.0980335835567*主场
0.252420020751*欧冠 0.248097879692*欧冠 0.187413622644*阿森纳 0.167185536961*拜仁 0.144882939952*点球
0.202913298031*校长 0.202003018614*东莞 0.1996700174*开学 0.198645637512*嫖娼 0.196768028442*延迟
0.291317018402*打车 0.254457456231*我是歌手 0.17717046583*邓紫棋 0.152795918732*东莞 0.124259140805*司机
0.292244931762*东莞 0.185066520358*女警察 0.182565767988*服务 0.175777553813*学生妹 0.16434522608*有时候
0.379588754392*打车 0.187013055393*嘀嘀 0.165121298295*市场 0.158442225779*软件 0.109834666141*行业
0.306051351831*欧冠 0.297659704912*欧冠 0.162898785809*比赛 0.14038919714*主场 0.0930009603083*时间
0.580476594291*东莞 0.142619914282*天津 0.0980004042113*时间 0.0929961016529*季后赛 0.085906985563*广东
