0.386848181432*东莞 0.158824129177*校长 0.155018049516*嫖娼 0.153980057123*开学 0.145329582751*学校
0.300428584146*余额宝 0.219912660159*东莞 0.206926142664*打车 0.141128150717*使用 0.131604462314*公司
0.405125850441*打车 0.228195880361*司机 0.132385505229*软件 0.12457045946*出租车 0.10972230451*手机
0.231381982631*余额宝 0.211113559024*取缔 0.196310664003*钮文新 0.181735524149*评论员 0.179458270192*冲击
0.411216551252*打车 0.232573395164*司机 0.142510748061*软件 0.128354212473*出租车 0.0853450930493*嘀嘀
0.220724123767*服务 0.208929890726*东莞 0.1992417231*停止 0.187026410334*爸爸 0.184077852073*苹果
0.415473487728*打车 0.169040887273*软件 0.166564245132*服务 0.12631833124*中国 0.122603048627*公司
0.278295542006*打车 0.251989469419*腾讯 0.17930120611*阿里 0.156110110749*竞争 0.134303671717*互联网
0.250214916636*软件 0.215464260777*北京 0.183319724397*出租车 0.178975647356*打车 0.172025450835*北京市
0.606842877464*东莞 0.144880614829*广东 0.0908806989709*回家 0.0849539852478*北京 0.0724418234888*天津
0.374269233136*余额宝 0.208637057046*银行 0.163630239254*互联网 0.138302386065*金融 0.115161084499*理财
0.311112388573*打车 0.273477910956*软件 0.161279376341*支付 0.13449798744*支付宝 0.11963233669*嘀嘀
0.262936967919*XP 0.207993921612*系统 0.185862247696*微软 0.179255836503*停止 0.163951026271*服务
0.335542541898*欧冠 0.327101682766*欧冠 0.131897139863*北京 0.125566015739*比赛 0.0798926197337*客场
0.484806317243*我是歌手 0.165616691837*喜欢 0.145560098426*希望 0.103727678925*张杰 0.100289213569*感觉
0.258762846332*东莞 0.221346297475*服务 0.183537023347*白领 0.173690788747*哥们 0.1626630441*女警察
0.478425265685*我是歌手 0.161610067702*周笔畅 0.130355482854*歌手 0.120903010339*邓紫棋 0.10870617342*张杰
0.304273571872*欧冠 0.296739690626*欧冠 0.137454349978*比赛 0.136839306457*主场 0.124693081066*阿森纳
0.511542415449*东莞 0.149928103895*扫黄 0.146897731857*东莞市 0.100000650643*广东 0.0916310981561*行动
0.484979961332*我是歌手 0.17945384103*观众 0.129422201027*喜欢 0.112077726855*地址 0.0940662697562*名单
