0.378995207864*余额宝 0.24269763568*银行 0.135953804177*推出 0.133172221071*企业 0.109181131208*产品
0.317907955706*欧冠 0.316634897558*欧冠 0.144763602173*北京 0.126337414835*比赛 0.0943561297281*主场
0.278884498162*欧冠 0.274044895024*欧冠 0.16999471879*淘汰赛 0.139142894405*决赛 0.13793299362*比赛
0.378836799108*余额宝 0.192057253754*支付宝 0.182749334517*银行 0.132796374493*互联网 0.113560238129*微信
0.263344547279*停止 0.239806486998*服务 0.172762199179*XP 0.170029762596*结束 0.154057003947*爸爸
0.276112922517*余额宝 0.199801223684*银行 0.192848933137*取缔 0.171246737464*评论员 0.159990183197*钮文新
0.496170503462*东莞 0.169014890714*天津 0.120725949679*比赛 0.109056354249*季后赛 0.105032301896*主场
0.269653767623*东莞 0.208088228507*扫黄 0.195563653252*经济 0.175494407748*市长 0.15119994287*笑柄
0.432854145621*东莞 0.200511927889*消息 0.173070168622*东莞市 0.103185018261*广东 0.0903787396068*城市
0.438982976916*我是歌手 0.163057956541*希望 0.147095515227*音乐 0.132272690749*中国 0.118590860567*舞台
0.234626157309*余额宝 0.223784486957*央视 0.20955451034*取缔 0.17533453392*评论员 0.156700311475*银行
0.510963087826*我是歌手 0.151743925759*喜欢 0.136538248915*歌手 0.110650607651*邓紫棋 0.0901041298497*周笔畅
0.210647119748*频道 0.203549085552*评论员 0.199164925073*央视 0.198120995847*资讯 0.18851787378*首席
0.456018800943*打车 0.194664561606*司机 0.15194671166*软件 0.118962333113*嘀嘀 0.0784075926778*出租车
0.460445266394*东莞 0.192509984409*消息 0.152958171502*东莞市 0.103256053587*广东 0.0908305241077*广州
0.260353270657*央视 0.231359841523*余额宝 0.186982827089*全国 0.170414823469*东莞 0.150889237262*打车
0.357746359216*余额宝 0.230326782127*银行 0.161168725366*存款 0.127421994551*互联网 0.12333613874*风险
0.504655813659*我是歌手 0.138551856443*邓紫棋 0.132809233804*需要 0.117016569086*满文军 0.106966527007*晚安
0.353268963497*打车 0.214095015737*司机 0.199466426632*软件 0.148387830177*出租车 0.0847817639565*嘀嘀
0.445921185405*东莞 0.17000081324*扫黄 0.142593788172*酒店 0.131482686282*小姐 0.1100015269*城市
