0.36213203824*东莞 0.209102595292*东莞市 0.186675737125*打车 0.134566655354*全国 0.107522973989*服务
0.454309618303*我是歌手 0.188119278329*喜欢 0.125885299161*歌手 0.119661685703*感觉 0.112024118504*周笔畅
0.440076414124*我是歌手 0.211934727231*邓紫棋 0.147839276834*喜欢 0.122299459811*歌手 0.077850122*歌曲
0.27765064294*XP 0.251842611772*系统 0.183777975092*微软 0.144073361449*使用 0.142655408747*服务
0.220299443261*打车 0.206149854456*软件 0.195143388854*司机 0.194794107392*出租车 0.183613206037*广播
0.358798366924*余额宝 0.269872735749*银行 0.169193099632*金融 0.104856907069*成本 0.0972788906266*取缔
0.49227037467*打车 0.250964136362*司机 0.0931493512394*奇葩 0.0873581278371*双手 0.0762580098915*雨刷
0.369641161612*东莞 0.294115917703*打车 0.156500336941*回家 0.0904158633606*回来 0.0893267203842*美女
0.407796271393*打车 0.215674811711*司机 0.160278968529*软件 0.115223824254*出租车 0.101026124112*嘀嘀
0.379836264953*余额宝 0.236873786055*银行 0.152265606564*互联网 0.125263119679*存款 0.105761222749*利率
0.380122385412*东莞 0.167949656021*我是歌手 0.161539750733*关注 0.152565638068*回来 0.137822569767*服务
0.279876597444*手机 0.186770448344*下载 0.18482519495*提示 0.178988564017*余额宝 0.169539195245*点击
0.24701143241*停止 0.215863352563*服务 0.183267074161*青春 0.177472281171*爸爸 0.176385859695*还珠格格
0.248536830157*软件 0.237816034298*打车 0.227094814423*出租车 0.145712762895*司机 0.140839558227*乘客
0.315763157116*欧冠 0.314787301278*欧冠 0.136554611825*时间 0.133333778639*比赛 0.0995611511409*主场
0.29481954294*东莞 0.205400638526*警方 0.198981832735*拘留 0.163789781745*东莞市 0.137008204053*否认
0.527943747911*东莞 0.200053759108*扫黄 0.107249139657*东莞市 0.0863884642195*广东 0.0783648891035*行动
0.376313865972*东莞 0.212847336193*广州 0.144776153837*佛山 0.135188589514*深圳 0.130874054483*广东
0.410426251148*东莞 0.173192840773*打车 0.162517078541*凤凰 0.128118279701*刘汉 0.125745549838*微信
0.258529643085*余额宝 0.212598425197*取缔 0.195374144765*评论员 0.180282256673*钮文新 0.15321553028*吸血鬼
