0.393061785169*打车 0.211204938623*软件 0.149844690754*司机 0.125093330185*手机 0.120795255269*乘客
0.483384034834*我是歌手 0.181136305457*邓紫棋 0.144480731707*歌手 0.123044729*喜欢 0.0679541990024*张杰
0.365779438625*余额宝 0.273935950646*银行 0.122505289458*支持 0.120480591901*金融 0.11729872937*利率
0.535748481714*东莞 0.146425432754*扫黄 0.108590376333*中国 0.105563871473*小姐 0.103671837726*打车
0.333332569045*余额宝 0.18367839047*取缔 0.18285983752*钮文新 0.160294984777*评论员 0.139834218188*银行
0.349902280691*余额宝 0.241655115412*银行 0.144295000387*钮文新 0.140700651749*取缔 0.12344695176*利率
0.405270087917*打车 0.181629605398*司机 0.163418850951*软件 0.150240032713*嘀嘀 0.0994414230219*出租车
0.221094903058*钮文新 0.211420831107*评论员 0.196237764856*取缔 0.186093554819*频道 0.18515294616*证券
0.373488242093*余额宝 0.197859512796*银行 0.148738344702*吸血鬼 0.145719655098*央视 0.134194245311*中国
0.280094900711*互联网 0.256354362694*余额宝 0.169304991855*金融 0.149640655282*银行 0.144605089459*腾讯
0.377554354052*欧冠 0.3663787678*欧冠 0.0958167215169*决赛 0.08654446404*时间 0.0737056925908*小组赛
0.411028974362*东莞 0.216841632842*打车 0.180236739994*东莞市 0.102922779117*司机 0.0889698736861*广东
0.256625818179*XP 0.213751068484*停止 0.194106511332*服务 0.177892284139*微软 0.157624317865*系统
0.411789496453*余额宝 0.166463957894*银行 0.14854590431*货币基金 0.138812449895*风险 0.134388191449*互联网
0.263446887824*打车 0.216056719842*软件 0.210457837931*司机 0.208458304192*出租车 0.101580250211*订单
0.263971572573*欧冠 0.255269227112*欧冠 0.195320091919*比赛 0.144073302188*主场 0.141365806208*时间
0.219823816614*成本 0.215362214033*余额宝 0.192572085075*社会 0.189919229329*经济 0.18232265495*融资
0.393316097524*余额宝 0.230511872311*银行 0.133408191011*互联网 0.124499932169*理财 0.118263906985*支持
0.37324523009*东莞 0.168624862293*老公 0.165593658939*美女 0.152330942932*看好 0.140205305745*情场
0.299388360653*东莞 0.193686195928*扫黄 0.185743367663*全国 0.165580803607*央视 0.155601272148*城市
