0.478611652328*东莞 0.200900375502*扫黄 0.120991524182*城市 0.103828172486*色情 0.0956682755025*全国
0.372105890303*打车 0.207506494592*司机 0.198826002573*软件 0.122354795624*出租车 0.099206816908*师傅
0.26198540016*XP 0.212125557336*微软 0.183950500588*停止 0.171559358136*系统 0.17037918378*服务
0.367757334562*余额宝 0.25267112344*银行 0.146769656038*取缔 0.117233262243*钮文新 0.115568623717*支持
0.38644243857*余额宝 0.213401389784*银行 0.154578050004*钮文新 0.126382620532*取缔 0.11919550111*利益
0.286721590454*打车 0.199394516116*使用 0.186774616537*服务 0.18324108576*东莞 0.143868191132*出租车
0.443991964969*我是歌手 0.155923437733*邓紫棋 0.148268581009*歌手 0.134167204676*喜欢 0.117648811613*张杰
0.573847251736*东莞 0.130745834295*东莞市 0.11334318883*广东 0.102187442797*广州 0.0798762823421*扫黄
0.399392212324*东莞 0.182249587058*季后赛 0.153814084454*天津 0.139596333151*新疆 0.124947783012*主场
0.226834751887*市长 0.217227055137*周滨 0.199382450823*雪峰 0.181881024297*吕梁 0.174674717855*运作
0.420940316792*东莞 0.286263947475*东莞市 0.100565007126*问题 0.0984885071423*企业 0.0937422214649*政府
0.324608450498*余额宝 0.213135331495*互联网 0.161802238707*打车 0.155007838125*银行 0.145446141176*金融
0.458200438454*打车 0.186718954041*软件 0.158398944372*司机 0.0986338418414*出租车 0.0980478212914*支付
0.314686243837*服务 0.237834393626*停止 0.17053255549*发现 0.144612528279*青春 0.132334278768*神话
0.332100148718*欧冠 0.331031078536*欧冠 0.134688884716*比赛 0.106584393733*曼联 0.0955954942974*决赛
0.383178009978*我是歌手 0.181982490822*喜欢 0.163364398004*打车 0.155556810694*中国 0.115918290502*邓紫棋
0.209014219543*东莞 0.203289236225*美女 0.202456576354*老公 0.192880222056*寻找 0.192359745822*看好
0.323459332075*打车 0.217904637205*软件 0.205433865792*司机 0.129607510949*乘客 0.12359465398*出租车
0.207732226633*打车 0.201188494076*软件 0.197916752179*广播 0.197783166002*出租车 0.19537936111*司机
0.419795903186*余额宝 0.224085974492*银行 0.120933890182*支持 0.119420698429*金融 0.115763533711*互联网
