0.335384080368*打车 0.285185062174*软件 0.153373280244*司机 0.136742627014*手机 0.0893149501999*出租车
0.280679008838*打车 0.22537962656*司机 0.217648727278*软件 0.175790716618*出租车 0.100501920705*广播
0.433020903746*打车 0.182953674792*司机 0.142190723209*软件 0.135877321235*支付 0.105957377018*嘀嘀
0.284496158092*欧冠 0.277883353197*欧冠 0.175018458262*北京 0.136370662308*比赛 0.12623136814*决赛
0.487976660938*东莞 0.159268027923*城市 0.135643179909*深圳 0.10957426808*全国 0.107537863149*佛山
0.556554657527*东莞 0.162695693488*广东 0.11312095185*广州 0.0925790163317*深圳 0.0750496808027*扫黄
0.399195484971*余额宝 0.22722523858*银行 0.135899203306*存款 0.125560193347*收益 0.112119879795*理财
0.25539586194*周滨 0.22575887378*北京 0.196853266175*租房 0.161727759348*富商 0.160264238757*政府
0.376839971048*余额宝 0.188235347803*互联网 0.171839097002*金融 0.133673497326*银行 0.12941208682*基金
0.323080096745*余额宝 0.21336876011*银行 0.188827124955*钮文新 0.139178483951*金融 0.13554553424*取缔
0.322592994408*欧冠 0.31544779895*欧冠 0.156334969252*曼联 0.104863048166*客场 0.100761189225*比赛
0.470624612594*打车 0.171329403797*东莞 0.132168916489*司机 0.115735745387*回家 0.110141321732*只能
0.214132178821*东莞 0.199848348238*老公 0.196056231772*美女 0.19567682823*看好 0.19428641294*依靠
0.286619632176*欧冠 0.271812908028*欧冠 0.186145056841*曼联 0.138287386041*莫耶斯 0.117135016913*球队
0.420071783266*打车 0.164585302852*公交 0.147782566478*只能 0.139596453618*孩子 0.127963893787*放弃
0.239292598985*XP 0.209039422618*用户 0.194459660174*服务 0.188810068064*停止 0.168398250158*系统
0.267757587765*打车 0.249503654426*软件 0.204067422608*使用 0.14752026606*高峰 0.131151069141*上海
0.233434336253*我是歌手 0.206743049725*实体 0.198080111904*中国 0.18801222795*经济 0.173730274168*国家
0.220454357655*打车 0.211789729839*补贴 0.207528452235*嘀嘀 0.190909109331*发放 0.16931835094*停止
0.468994669787*东莞 0.263832174709*东莞市 0.107325574106*广东 0.0853689976987*扫黄 0.0744785837003*全市
