0.298666948393*打车 0.203548664104*微信 0.167571169678*市民 0.166585128659*余额宝 0.163628089166*关注
0.277673167323*欧冠 0.276470263447*欧冠 0.171791732749*皇马 0.145989654037*客场 0.128075182444*沙尔克
0.278583675112*XP 0.199366260685*服务 0.184314951943*用户 0.174544660965*系统 0.163190451294*使用
0.380593072423*周滨 0.201865820062*利益集团 0.152612944792*腐败 0.144404230243*富商 0.120523932481*中青报
0.274197688365*软件 0.260277457354*打车 0.223696553937*管理 0.122694667044*上海 0.119133633301*出租车
0.366582256789*余额宝 0.211355627599*互联网 0.184875327015*金融 0.131671026861*银行 0.105515761736*财经
0.254069219526*软件 0.238346002324*打车 0.175823390323*高峰 0.167406866775*上海 0.164354521052*使用
0.35992501436*余额宝 0.179294588228*取缔 0.178959871475*银行 0.154206734547*钮文新 0.12761379139*评论员
0.270420872698*余额宝 0.225292711058*存款 0.222319181828*银行 0.142033208741*协会 0.139934025675*银行业
0.439207263446*打车 0.157107252746*出租车 0.14512120967*软件 0.134847160204*电话 0.123717113934*司机
0.379100720682*打车 0.228012789721*软件 0.16812843039*公司 0.119018939939*司机 0.105739119268*出租车
0.308665600103*打车 0.20413616761*软件 0.20047833877*嘀嘀 0.16671378922*补贴 0.120006104297*结束
0.430074701362*打车 0.218428371254*司机 0.177140223036*软件 0.0894789221268*支付 0.0848777822213*嘀嘀
0.217328423056*早晚 0.209784249937*高峰 0.202469059636*时段 0.185552014693*软件 0.184866252678*打车
0.530811952256*东莞 0.175810916736*东莞市 0.107589179213*扫黄 0.1043830007*广东 0.0814049510946*全市
0.329527925029*欧冠 0.328914232252*欧冠 0.125798319271*比赛 0.117084484147*切尔西 0.0986750393011*曼联
0.225469649234*软件 0.218475768324*打车 0.205323567595*使用 0.179540886277*早晚 0.17119012857*高峰
0.398631699236*我是歌手 0.184728075803*邓紫棋 0.176559025934*歌手 0.128043095381*娱乐 0.112038103647*凤凰
0.616525329935*东莞 0.127273189503*东莞市 0.0993810463696*广东 0.0830588345648*中国 0.0737615996276*深圳
0.311343838189*打车 0.240012513788*司机 0.196965182795*软件 0.174357618514*出租车 0.0773208467133*广播
