0.399998254163*打车 0.258678576046*司机 0.127359217998*停止 0.10849129347*XP 0.105472658324*系统
0.316007866084*打车 0.226019850126*机场 0.221834325569*昆明 0.118592233182*工作 0.11754572504*司机
0.335570139687*余额宝 0.202075474066*银行 0.176921748752*互联网 0.149286640594*存款 0.1361459969*金融
0.296241242112*打车 0.209728809157*软件 0.183804358087*嘀嘀 0.163414609602*支付宝 0.146810981042*钱包
0.518229791317*我是歌手 0.136318256371*张杰 0.135757165177*歌手 0.108718144866*喜欢 0.10097664227*邓紫棋
0.290880020438*打车 0.275682822197*东莞 0.178723666982*回家 0.129484250753*回来 0.125229239629*司机
0.419655361433*昆明 0.286153663446*昆明市 0.118291518873*工作 0.088206031801*云南省 0.0876934244474*云南
0.279650214247*昆明 0.205521518916*服务 0.186094514087*XP 0.167178841255*东莞 0.161554911496*支持
0.300574389317*打车 0.268420389144*软件 0.154218435577*出租车 0.139250182556*使用 0.137536603405*司机
0.512276470903*昆明 0.24305043266*云南 0.084681818044*玫瑰 0.0804804163186*情人节 0.0795108620743*天气
0.368829850046*昆明 0.195985178836*中国 0.163661915974*东莞 0.157196996642*北京 0.114326058502*城市
0.315686826603*打车 0.299796821512*软件 0.131739143391*马云 0.129793409865*烧钱 0.122983798629*老人
0.203619192874*高峰 0.201730987504*软件 0.199370549999*打车 0.198426447314*禁用 0.19685282231*上海
0.230882479691*服务 0.230227296138*打车 0.221548741802*软件 0.16734929552*马云 0.149992186849*竞争
0.267118045551*昆明 0.229795999555*城市 0.181369836551*广州 0.175817573408*东莞 0.145898544935*重庆
0.318561698459*东莞 0.194517669512*扫黄 0.179622208077*用工 0.163975844024*缺口 0.143322579928*广东
0.270699757762*打车 0.209554203022*软件 0.193418197021*杭州 0.186199811336*出租车 0.140128030859*空车
0.311594103617*欧冠 0.311308669546*欧冠 0.132708575239*时间 0.130008939795*北京 0.114379711803*决赛
0.294934565713*余额宝 0.194092875299*规模 0.175105852276*突破 0.170043073452*用户 0.16582363326*基金
0.576545287149*昆明 0.133693361916*东莞 0.100270545445*云南 0.0975755711559*昆明市 0.0919152343339*活动
