0.304426726922*春晚 0.187197693907*央视 0.173428008316*节目 0.169706774772*全国 0.165240796084*马
0.214032702677*顺序 0.207171331406*提 0.200973801885*站位 0.18924300289*过年 0.188579161142*董卿
0.209654515034*消息 0.206659718344*春晚 0.20525010536*冯小刚 0.197322023743*主持人 0.181113637519*扯
0.300425068385*我是歌手 0.263516462778*春晚 0.197424757709*喜欢 0.121891932309*期待 0.11674177882*歌
0.207712207067*春晚 0.204873401458*主持 0.202507560838*张国立 0.196829949619*主持人 0.188076881018*朱军
0.22188167439*提 0.214832772745*买 0.199969394542*李 0.183267058048*张国立 0.180049100274*关注
0.216981048202*毕福剑 0.204402329338*尾声 0.193033226152*张国立 0.192791698154*水面 0.192791698154*浮出
0.406793445692*春晚 0.176436679927*我是歌手 0.154749362205*节目 0.138337337983*现场 0.123683174194*春节
0.421015817303*我是歌手 0.162340452727*邓紫棋 0.15139278682*唱 0.148577650326*喜欢 0.116673292824*泡沫
0.311150130734*春晚 0.205716838057*马 0.176195584457*王菲 0.171509584394*冯小刚 0.135427862358*力
0.534562565686*春晚 0.137772632087*节目 0.114553216516*冯小刚 0.111973641076*央视春晚 0.101137944635*马
0.305573768317*春晚 0.236784483232*直通 0.158943402948*白举纲 0.151340311874*中国 0.147358033628*声音
0.211442667587*尼格 0.204745454116*思思 0.202066568728*董卿 0.191733725088*买 0.190011584481*李
0.232736954081*中国 0.19797207122*歌曲 0.196040840308*最强 0.190729273689*我是歌手 0.182520860702*大脑
0.229222987785*央视 0.20456623177*董卿 0.198173376692*主持 0.185388599393*继续 0.18264880436*朱军
0.484415479056*我是歌手 0.146143486844*乐 0.132049000784*视网 0.124259714973*节目 0.113132318343*韩磊
0.396638217945*我是歌手 0.189491990549*韩磊 0.145349528797*唱 0.137167071312*邓紫棋 0.131353191397*韦唯
0.232051928475*主持人 0.219180408329*徐帆 0.195794198674*张国立 0.193074664126*主持 0.159898800396*春晚
0.265045679104*春晚 0.192427425349*买 0.18875402306*主持 0.182255155065*徐帆 0.171517717422*朱军
0.400656469578*春晚 0.158771574347*主持人 0.158771574347*华人 0.147134363095*张国立 0.134666018634*观众
