0.345630204094*打车 0.205821128306*东莞 0.160084504123*昆明 0.152807619779*回家 0.135656543698*发现
0.351168606059*打车 0.183989497967*软件 0.177797886848*司机 0.163203120021*补贴 0.123840889104*服务
0.388293583039*余额宝 0.202901199939*银行 0.139713938937*存款 0.137213090628*互联网 0.131878187457*金融
0.452570158048*东莞 0.159588745517*东莞市 0.137512419473*广东 0.126286766886*扫黄 0.124041910076*工作
0.372421297626*微海 0.196226431389*希望 0.181422439757*问题 0.126851645943*昆明 0.123078185284*国家
0.361705644505*昆明 0.236605555796*中国 0.183301880837*云南 0.12510299585*城市 0.0932839230123*丽江
0.351685816254*打车 0.213834686102*软件 0.175153221799*出租车 0.147918442333*司机 0.111407833512*手机
0.222045388455*政府 0.21906612847*工作 0.198411271607*发展 0.19384303091*微海 0.166634180558*改革
0.245613372111*全国 0.223263034422*召开 0.190098797381*发展 0.180485854561*会议 0.160538941526*关注
0.283232384851*打车 0.257803922165*软件 0.174281818227*用户 0.162704682868*XP 0.121977191889*服务
0.233042585596*打车 0.203484692945*软件 0.19617309864*上海 0.188083480022*公司 0.179216142797*信息
0.248165231051*全国 0.233752307027*代表 0.189596687136*召开 0.165356509262*关注 0.163129265525*委员
0.46015913307*昆明 0.23667550338*昆明市 0.114960335903*云南 0.101126744186*工作 0.0870782834603*云南省
0.248352347006*委员 0.239129676417*北京 0.214097211745*全国 0.154151161097*泡馍 0.144269603735*代表
0.292526042151*北京 0.199425411809*提供 0.18563245365*服务 0.163794378952*继续 0.158621713437*全国
0.286097646957*打车 0.191076160443*司机 0.185016889936*软件 0.172691775591*老人 0.165117527073*免费
0.392282126707*邓紫棋 0.209920676124*我是歌手 0.149051194555*喜欢 0.132272569477*鄧紫棋 0.116473433136*张杰
0.271027142564*昆明 0.230389519111*火车站 0.187441161871*现场 0.156883579669*歹徒 0.154258596786*持械
0.349166111742*欧冠 0.173619756677*时间 0.172931328384*比赛 0.166873445362*北京 0.137409357835*主场
0.368351620632*昆明 0.172539422062*城市 0.164638548602*广州 0.159086282694*上海 0.13538412601*成都
