0.32429282565*昆明 0.211157933234*东莞 0.197377328972*微海 0.140698539123*中国 0.126473373022*国家
0.20646965597*涨价 0.205138416448*韩国 0.196751868315*价格 0.196751868315*化妆品 0.194888190952*扣货
0.299430116257*昆明 0.184370633606*衣服 0.180836511685*报警 0.176811434995*新疆 0.158551303457*朋友
0.243780851242*昆明 0.225921654569*逝者 0.202895840652*安息 0.172662503746*伤者 0.154739149791*平安
0.3142143787*昆明 0.225176240269*无辜 0.172459001117*平民 0.147439329606*行为 0.140711050308*人类
0.326138682789*昆明 0.195270319026*事件 0.17816562733*势力 0.153484315102*分裂 0.146941055753*恐怖事件
0.365152975335*昆明 0.257116584687*事件 0.129759138533*恐怖袭击 0.127815495825*逝者 0.12015580562*中国
0.403736955277*打车 0.20827907977*软件 0.187342201272*司机 0.117029583503*出租车 0.0836121801775*使用
0.299888672798*昆明 0.189816191269*事件 0.178051045295*暴徒 0.167331369683*暴力 0.164912720954*火车站
0.345479020821*昆明 0.20096120037*火车站 0.180803424829*事件 0.157544109375*暴恐 0.115212244604*发生
0.351809827836*东莞 0.230487462521*消息 0.169041923901*工作 0.12524564104*召开 0.123415144702*昆明
0.297127956173*昆明 0.228422970143*火车站 0.168640769491*事件 0.168316121539*暴力 0.137492182653*发生
0.345125057931*余额宝 0.18831336362*银行 0.161378899112*互联网 0.160466166612*中国 0.144716512724*市场
0.268639678935*欧冠 0.18553142138*时间 0.185056125421*转基因 0.180624035111*北京 0.180148739153*崔永元
0.358620041135*昆明 0.218808672061*火车站 0.159247877202*暴力 0.138826998952*事件 0.12449641065*发生
0.349415896843*昆明 0.231609370535*邓紫棋 0.164967623635*喜欢 0.14930876645*希望 0.104698342537*感觉
0.298242488693*全国 0.201523850882*会议 0.17734406806*委员 0.16280530683*全国政协 0.160084285535*召开
0.322535293148*微海 0.201475888016*问题 0.162956768194*国家 0.161706060837*希望 0.151325989806*关注
0.258310664131*火车站 0.213957334422*受伤 0.181294952238*昆明 0.176788167867*广场 0.169648881343*蒙面
0.401569889257*昆明 0.165295481078*火车站 0.155946411184*发生 0.146223072623*安息 0.130965145859*暴徒
