0.301347851215*全国 0.195706147825*昆明 0.177085679439*北京 0.175375235319*提供 0.150485086202*人大代表
0.244642541783*工作 0.212722723239*全国 0.208258992325*政府 0.186607499097*问题 0.147768243556*中国
0.347744413405*余额宝 0.20583538077*互联网 0.164589176734*银行 0.146419463338*金融 0.135411565753*收益
0.286141547393*会议 0.194391740185*全国 0.179825773386*开幕 0.174108592314*昆明 0.165532346722*全国政协
0.307588325253*委员 0.213392891971*代表 0.205654836622*崔永元 0.148809910792*问题 0.124554035361*转基因
0.304655285454*昆明 0.232507396394*火车站 0.184862444238*暴力 0.146910091803*发生 0.131064782111*事件
0.288669419757*昆明 0.273619535728*东莞 0.179347931807*邓紫棋 0.135452389044*希望 0.122910723665*打车
0.275829839338*记者 0.199760493583*余额宝 0.196466278103*采访 0.164420983786*发布 0.16352240519*眼镜
0.439682219488*昆明 0.184855560448*事件 0.128945946745*逝者 0.125755593241*发生 0.120760680079*安息
0.242471905383*委员 0.19606796774*全国 0.19571400282*工作 0.189160795579*代表 0.176585328478*会议
0.286533242847*市场 0.204421456923*经济 0.177720596415*政策 0.169107749407*关注 0.162216954408*问题
0.248848495028*昆明 0.206406216338*中国 0.194795131801*全国 0.184584768074*召开 0.165365388758*发展
0.26196630596*周滨 0.197998189793*调查 0.187772171467*无锡 0.177110818773*石油 0.175152514007*周元青
0.350928558097*东莞 0.209957761653*消息 0.188362712361*昆明 0.15137000662*东莞市 0.0993809612689*工作
0.237381329543*东莞 0.204850634176*大厦 0.204485679919*爆炸 0.18366157098*餐厅 0.169620785382*旗峰
0.234566547829*XP 0.217711183376*微软 0.188018535066*中国 0.183322125084*用户 0.176381608645*继续
0.23675545708*中国 0.230747707034*市场 0.20289455447*关注 0.168214561107*安全 0.161387720309*问题
0.393957441981*打车 0.220667757898*软件 0.17546404339*司机 0.114876736786*出租车 0.0950340199447*嘀嘀
0.362867699352*欧冠 0.171954239012*比赛 0.170827808476*时间 0.165759545167*北京 0.128590707993*联赛
0.257895611364*全国 0.205464679382*全国政协 0.186889477324*会议 0.183765034751*关注 0.16598519718*开幕
